model,aae_text,sae_text,aae_sentiment,sae_sentiment,aae_from_sae_text,aae_from_sae_sentiment
Gemma-3,LOL ion wnt ha to wea noo panties 2ma wen she cum ova onna real,"LOL, I don't want her to wear any panties tomorrow when she comes over, for real.",positive,negative,"LOL, I don't want her wearin' no panties tomorrow when she come through, fr.",negative
Gemma-3,mmm hmmmm datz wat it sound like ta me..my bby godmama kant be into dat lol,"Mmm hmm, that's what it sounds like to me. My baby's godmother can't be into that, lol.",negative,neutral,"Mmm hmm, that’s what it sound like to me. My baby godmama can’t be into that, lol.",positive
Gemma-3,Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.,"Future is like the new T-Pain. He sounds good singing the chorus, but I’m not so sure about him on the entire song.",negative,neutral,"Future kinda like the new T-Pain. He sound good singin’ the hook, but I’on know ’bout him on the whole song.",neutral
Gemma-3,Something's are meant not to be said && I was about to say something but I'm not,"Some things are not meant to be said, and I was about to say something, but I’m not going to.",negative,neutral,"Some things just ain’t meant to be said, and I was bout to say somethin’, but I ain’t gon’ do it.",neutral
Gemma-3,"""I'm not rushing it, I'm just ready to get that shit outta the way ...""","""I'm not rushing it, I'm just ready to get that stuff out of the way ...""",negative,neutral,"I ain’t rushin’ it, I’m just ready to get that stuff out the way…",neutral
Gemma-3,It's undeniable dat we should  b togetha unbelievable how I use to say I dat ill fall neva the basis is need 2 kno if u dont kno  how I feel,"It’s undeniable that we should be together. It’s unbelievable how I used to say that I would never fall. The point is, you need to know how I feel if you don’t already know.",negative,positive,"Ain’t no denyin’ we s’posed to be together. Can’t believe I used to say I’d never fall. Point is, you gotta know how I feel if you don’t already.",positive
Gemma-3,Yo this bitch in schoil to bay tryed to grind me up .oh no she was a fuck duck lick no lay grind her the fuck up ctfu,"Hey, this girl at school today tried to insult me. Oh no, she was a joke, not worth my time—I really put her in her place. I'm cracking up.",negative,positive,"Aye, this girl at school today tried to come for me. Girl, please—she was a joke, not even worth my time. I had to let her know real quick. I’m weak!",negative
Gemma-3,Mfs kill me when they say im thick as FUCK come on now I ain't that thick,"People make me laugh when they say I'm really thick. Come on now, I'm not that thick.",negative,positive,"Folk be makin’ me laugh talkin’ ’bout I’m real thick. Come on now, I ain’t even that thick.",positive
Gemma-3,"""Letting  the one come to me. I'm not waiting for nobody at this point""",Letting the right person come to me. I'm not waiting for anyone at this point.,negative,positive,Lettin’ the right one come my way. I ain’t waitin’ on nobody at this point.,positive
Gemma-3,he done the shit all of his career. Why stop now? It obviously worked out aiight for him,he’s done that his entire career. Why stop now? It obviously worked out alright for him.,negative,positive,he been doin that his whole career. Why stop now? Clearly it worked out just fine for him.,positive
Gemma-3,"""i spoke to  today . he looked at me like who df is youu? lol""","I spoke to  today. He looked at me like, ""Who the heck are you?"" lol",negative,neutral,"I talked to  today. He looked at me like, ""Who you s'posed to be?"" lol",neutral
Gemma-3,am i the only one that wanna relationship where we can fuck all night til things get right ? ijs,Am I the only one who wants a relationship where we can have sex all night until things feel right? Just saying.,negative,positive,Am I the only one who want a relationship where we can go at it all night ’til it feel right? Just sayin.,positive
Gemma-3,done packing . finna watch the tv looky box til i get that call in the morning saying we in the way .,Finished packing. I'm about to watch TV until I get that call in the morning saying we're on our way.,negative,neutral,Done packin’. ’Bout to watch some TV till I get that call in the mornin’ sayin’ we on the way.,positive
Gemma-3,i remember that day #oomf pulled my bathing suit string & my bottoms came off in the pool <<< dfl .,I remember that day when one of my followers pulled my bathing suit string and my bottoms came off in the pool. Dead from laughing.,negative,positive,"Mane, I remember that day when one of my followers pulled my swimsuit string and my bottoms came off in the pool. I was dead laughin’.",positive
Gemma-3,"""I want ah nigga who gone beat my ass when I'm doing shit wrong,not in ah bad way bhut to be in dat with me& any nigga..!!""","I want a man who will hold me accountable when I’m doing something wrong—not in a bad way, but to be there with me and stand by me, unlike any other man.",negative,positive,"I want a man who gon’ hold me accountable when I’m doin’ wrong—not in a bad way, but be there for me and stand by me, different from any other man.",positive
Gemma-3,rainy days fade away when you come around say you here to stay with me boy I don't want you tellin me I need you,"Rainy days fade away when you come around. You say you’re here to stay with me, but boy, I don’t want you telling me I need you.",positive,negative,"Rainy days don’t even matter when you come through. You say you here to stay wit’ me, but boy, don’t be tellin’ me I need you.",negative
Gemma-3,"""I.keep on falling in love with you , sometimes I love you sometimes you make me blue""","I keep on falling in love with you. Sometimes I love you, and sometimes you make me feel sad.",positive,neutral,"I keep on fallin’ in love wit’ you. Sometimes I love you, and sometimes you make me feel sad.",neutral
Gemma-3,""" lol ima good child lol , and you need to cause I be super bored up here""",""" lol I’m a good child lol, and you should because I get super bored up here.""",positive,neutral,"lol I’m a good kid fr, and you should cuz I be gettin real bored up here.",neutral
Gemma-3,If it wasn't for my rest view mirror I would fuckin all types of shit up lol,"If it weren’t for my rearview mirror, I would be messing all kinds of things up, lol.",negative,positive,"If it wasn’t for my rearview mirror, I’d be messin’ all kinda stuff up, lol.",positive
Gemma-3,""". no1 should die, the way these folks are dieing <<<< falling down steps? ifell down them CONCRETE steps at JSU , & Im Alive !""","No one should die the way these people are dying. Falling down steps? I fell down those concrete steps at JSU, and I'm alive!",positive,negative,"Ain’t nobody s’posed to be dyin’ like this. Fallin’ down steps? I done fell down them concrete steps at JSU, and I’m still here!",negative
Gemma-3,"""THE DAY I RUN FROM (ANY)BODY WALKING THA SAME GROUND & BREATHING THA SAME AIR AS ME , IS THA DAY I WILL TAKE OFF MY HAT ND SALUTE 'EM !""",The day I run from anybody walking the same ground and breathing the same air as me is the day I will take off my hat and salute them!,positive,negative,"The day I run from somebody walkin’ the same ground and breathin’ the same air as me, that’s the day I’ma take my hat off and salute ‘em!",positive
Gemma-3,. telling Dee this stuff and iwas told not to tlk about it anymore .. but she sed ikn trust herr .,"I was telling Dee about this stuff and I was told not to talk about it anymore, but she said I can trust her.",negative,positive,"I was tellin’ Dee ’bout this stuff and they told me not to talk ’bout it no more, but she said I can trust her.",neutral
Gemma-3,"""#HonestHour --> iOn Have NUN Against NOBODY Why folks dont likee , me , iDontt knoee. honestly IDC !""","#HonestHour --> I don't have anything against anybody. Why people don't like me, I don't know. Honestly, I don't care!",negative,neutral,"#HonestHour --> I ain't got nothin' against nobody. Why folks don't like me, I don't even know. For real, I don't care!",neutral
Gemma-3,. not going to see Texas Chainsaw Massacre .. tomar . im Goin WEEK AFTER NEXT . That mfreaker better b still playing !,I’m not going to see Texas Chainsaw Massacre tomorrow. I’m going the week after next. That movie better still be playing!,positive,neutral,I ain’t goin’ to see Texas Chainsaw Massacre tomorrow. I’m goin’ the week after next. That movie betta still be playin’!,neutral
Gemma-3,bestfrenn comin ova my house tomar .. get thoa fONKey project out tha way ...,My best friend is coming over to my house tomorrow to get that funky project out of the way.,positive,neutral,My best friend comin’ over to my house tomorrow so we can knock that funky project out the way.,positive
Gemma-3,""" . Naww , it WASNT , But iF u Be lookin At me , then sure it could be .""",""". No, it wasn’t, but if you’re looking at me, then sure, it could be.""",positive,neutral,". Nah, it wasn’t, but if you lookin’ at me, then yeah, it could be.",neutral
Gemma-3,"""my BiggSiss / BurntCookiee told mee ta take myy butt taa sleep , soo BYE YALL :(""","My big sister, BurntCookiee, told me to take my butt to sleep, so bye, you all :(",neutral,negative,"My big sis BurntCookiee told me to take my butt to sleep, so bye y’all :(",negative
Gemma-3,had meh walkin 3days n dah cold nn rain ii got dayy ass doe >>>>,"Had me walking for three days in the cold and rain, but I got their ass though. >>>>",negative,positive,"Had me out here walkin’ three days in the cold and rain, but I got they ass tho. >>>>",positive
Gemma-3,wus bout tooh go tooh sleep butt ii got tooh talkin tooh q bout sum stuff nii um uph thankin  nn um bored talkin tooh halle doe >> my #love,"I was about to go to sleep, but I started talking to Q about some things. Now I’m up thinking and I’m bored, talking to Halle though—my #love.",neutral,positive,"I was finna go to sleep, but I started talkin’ to Q ‘bout some things. Now I’m up thinkin’ and I’m bored, talkin’ to Halle tho—my #love.",positive
Gemma-3,"""If It Walk Likee Ah Duck, Talk Likee Ah Duck.. Ihts Ah - - > Duckk!!!""","If it walks like a duck and talks like a duck, then it’s a duck!",positive,neutral,"If it walk like a duck and talk like a duck, then it’s a duck!",neutral
Gemma-3,Shaggy Hadd Mhee Overr Here Worriedd.. He Stayy Laughinn & To See Himm Snappin Wass Likeee Wowwww..,"Shaggy had me over here worried. He’s always laughing, so to see him snapping was like, wow.",positive,negative,"Shaggy had me over here stressed. He always be laughin’, so seein’ him snap was like, damn.",negative
Gemma-3,Im finally bout to go back to school I got to be on my shit doe,I’m finally about to go back to school. I have to stay on top of my responsibilities though.,positive,neutral,I’m finally ’bout to go back to school. Gotta stay on top of my responsibilities though.,positive
Gemma-3,""": :  were da girls att ahhaa , i have none lol lien put me on wit someone fr fr""",""": :  where are the girls at? Haha, I don’t have any, lol. Stop lying and introduce me to someone for real.""",neutral,negative,""": :  where the girls at? Haha, I ain’t got none, lol. Quit lyin’ and put me on wit somebody fr.""",negative
Gemma-3,Every body fall in love in high skool nd say they gone be married but at the end of high school u find out who's going to be wife!!,"Everyone falls in love in high school and says they’re going to get married, but at the end of high school you find out who’s actually going to be a wife!",neutral,negative,"Everybody be fallin’ in love in high school talkin’ ‘bout they gon’ get married, but by the end you really see who wife material fr!",negative
Gemma-3,""":  to yanni lol sike nah rosedalefunny Nigga Yo we really fucked all da same hoes tho bro""",""":  to Yanni lol just kidding, Rosedale is funny. Man, we really slept with all the same women though, bro.""",negative,neutral,":  to Yanni lol I’m just playin, Rosedale be wild. Bruh, we really done messed with all the same girls fr.",negative
Gemma-3,""":  that's word to the big hat boy !! You'll see when I come holla at ukopi kopi lol""",""":  I swear on everything! You'll see when I come talk to you, kopi kopi lol""",positive,negative,""":  On everything, fr! You gon see when I pull up an’ talk to you, kopi kopi lol""",negative
Gemma-3,""": Smh there goes my name again soon change my name to rico or Gerald smh. I'm Rico Nigga Lmfao""",""": Shaking my head, there goes my name again. I might as well change my name to Rico or Gerald, shaking my head. I'm Rico, man. Laughing my ass off.""",negative,positive,": Smh, there go my name again. Might as well change my name to Rico or Gerald, smh. I’m Rico, man. Lmao.",negative
Gemma-3,""": #tbt gone but never forgotten lol check ya man out tho  who dat bro""",""": #tbt gone but never forgotten. Haha, check your man out though, . Who is that, bro?""",positive,neutral,": #tbt gone but ain’t never forgotten. Haha, look at ya man though, . Who dat is, bruh?",positive
Gemma-3,""":    .. Already .. U gon eat dem vegetables this time huh? Lol. Ima b caked up""",""":    ... Alright then. Are you going to eat those vegetables this time, huh? Lol. I’m going to be getting money.""",negative,neutral,""":    ... Aight then. You gon eat them veggies this time, huh? Lol. I’ma be gettin this money.""",positive
Gemma-3,"""so me nd Miata going to get gym memberships gone see how long this Last,both are lazy asses""","So, Miata and I are going to get gym memberships. We’ll see how long this lasts, since we’re both lazy.",negative,neutral,"So, me and Miata ’bout to get us some gym memberships. We gon’ see how long this last, ’cause we both lazy.",neutral
Gemma-3,So Is ANYBODY gone cum with me to see Texas Chainsaw Massacre with me ????,Is anyone going to come with me to see Texas Chainsaw Massacre?,negative,neutral,Anybody tryna come wit me to see Texas Chainsaw Massacre?,neutral
Gemma-3,But anyway enough of that lovey dovey shyd as of NOW I'm still single lol,"But anyway, enough of that romantic stuff. As of now, I'm still single, lol.",negative,neutral,"But anyway, enough wit all that romantic stuff. Still single tho, lol.",neutral
Gemma-3,Im gonna work in the salon and continue my CNA til I continue my education in nursing,I am going to work in the salon and continue my CNA until I continue my education in nursing.,positive,neutral,I'm finna work at the salon and keep doin' my CNA till I go back to school for nursing.,positive
Gemma-3,Oomf seen my body and all he could say is dammmnnn how u get all that,"One of my followers saw my body and all he could say was, ""Damn, how did you get all that?""",positive,negative,"One of my followers saw my body and all he said was, ""Damn, how you get all that?""",negative
Gemma-3,"""I remember back in high school at practice, I was always the one to hit the 2 big free throws to stop us from runnin my team should thank me""","I remember back in high school at practice, I was always the one who made the two big free throws to stop us from running. My team should thank me.",negative,positive,"I remember back in high school at practice, I was always the one hittin’ them two big free throws so we ain’t have to run. My team really need to thank me.",positive
Gemma-3,"""Girl 1 want two dudes, Girl 2 want the on blowcaine in rain, Girl 3 wants on table at work, Girl 4 wants on stage with crowd. Which girl r u""","Girl 1 wants two guys, Girl 2 wants one who does cocaine in the rain, Girl 3 wants one at her workplace, Girl 4 wants one on stage with a crowd. Which girl are you?",negative,neutral,"Girl 1 want two dudes, Girl 2 want one who doin’ coke in the rain, Girl 3 want one at her job, Girl 4 want one on stage wit’ a crowd. Which girl you is?",neutral
Gemma-3,If you treat yo girl like that girl you once wanted maybe she might be just the one open your eyes,"If you treat your girlfriend like the girl you once wanted, maybe she might be the one—open your eyes.",negative,positive,"If you treat yo girl like the one you used to want, she might just be the one—open yo eyes.",positive
Gemma-3,they will send u another one go comment on negitive feedback cause they did me da same way but dey send me another one,"They will send you another one. Go comment on the negative feedback because they did the same thing to me, but they sent me another one.",negative,positive,"They gon’ send you another one. Go say somethin’ on that negative feedback cuz they did me like that too, but they sent me another one.",negative
Gemma-3,i wish #oomf play the second round of ruzzle ' lol he scared ima whip that ass,"I wish one of my followers would play the second round of Ruzzle. Lol, he’s scared I’m going to beat him.",negative,positive,"I wish one of my followers would play that second round of Ruzzle. Lol, he scared I’ma beat him.",positive
Gemma-3,"""Everyday its ah struggle, just have to pray & role on its goibg to be a good day""","Every day it's a struggle, just have to pray and roll on—it's going to be a good day.",negative,positive,"Every day be a struggle, just gotta pray and keep it movin’—gon’ be a good day.",positive
Gemma-3,"""Don't ask questions you know the answers to, that's like not raising ya hand when you already have the answer to the question!""",Do not ask questions you already know the answers to; that is like not raising your hand when you already know the answer to the question!,negative,neutral,Don’t be askin’ questions you already know the answer to; that’s just like not raisin’ your hand when you already know the answer!,negative
Gemma-3,true that...only reason im taking mines cuz he gone pay for everything Ion gotta pay for nothing,That’s true... The only reason I’m taking mine is because he’s going to pay for everything. I don’t have to pay for anything.,positive,negative,That’s true... The only reason I’m takin’ mine is cuz he gon’ pay for everything. I ain’t gotta pay for nothin’.,positive
Gemma-3,thats a song girl lol I gotta a man I dont need no 1 else owns,"That’s a song, girl, lol. I have a man; I don’t need anyone else’s.",negative,positive,"That’s a song, girl, lol. I got a man; I don’t need nobody else’s.",positive
Gemma-3,Now she like my phone after she talk so much trash bout how much i paid for it lol,"Now she likes my phone after she talked so much trash about how much I paid for it, lol.",positive,negative,"Now she like my phone after she was talkin all that mess 'bout how much I paid for it, lol.",positive
Gemma-3,She got a man but I can take her but I'm not on that I'm going 2 wait into she ready,"She has a boyfriend, but I could win her over. However, I'm not pursuing that right now; I'm going to wait until she is ready.",negative,neutral,"She got a man, but I could still get her. But I ain’t chasin’ her right now; I’ma just wait till she ready.",negative
Gemma-3,No wat who ever I want my twifey to be Im going to dm them,"No matter who I want my wifey to be, I am going to direct message them.",positive,neutral,"No matter who I want my wifey to be, I’ma slide in they DMs.",negative
Gemma-3,#MidddleSchoolMemories When me and Malcolm stay getting in trouble because we was packing on each other,#MiddleSchoolMemories When Malcolm and I kept getting in trouble because we were joking around with each other,neutral,positive,#MiddleSchoolMemories When me and Malcolm kept gettin’ in trouble ‘cause we was clownin’ each other,positive
Gemma-3,I knew what ii was on ii had a pilot jones she took meh high then she took meh home what yhu talkin bout pilot jones pilo jones,"I knew what I was on—I had a pilot Jones. She took me high, then she took me home. What are you talking about? Pilot Jones, pilot Jones.",positive,neutral,"I knew what I was on—I had a pilot Jones. She took me high, then she took me home. What you talkin’ ’bout? Pilot Jones, pilot Jones.",neutral
Gemma-3,Lol damn riney like meh nah ii was knock tf out 5th period nd that's PE,"Lol, wow, Riney was like, ""Nah, I was completely knocked out during fifth period—and that was P.E.""",negative,positive,"Lol, wow, Riney was like, ""Man, I was out cold durin' fifth period—and that was P.E.""",positive
Gemma-3,Wait wait don't get offended about my tweets unless yhu are what my tweets describe!,"Wait, wait, don’t get offended by my tweets unless you are the person my tweets are describing!",negative,neutral,"Hold up, don’t be gettin’ mad at my tweets unless I’m talkin’ bout you!",negative
Gemma-3,I hate to keep people waiting when ii text them that's wy ii reply fast<<,"I don’t like to keep people waiting when I text them, that’s why I reply quickly.",negative,positive,"I don’t like leavin’ folks waitin’ when I text ’em, that’s why I hit back quick.",positive
Gemma-3,"""this , Rikia .. One thing these bitches fail to see is ; Mye my fuckn sister while getting in family shit we gone fight & argue .""","This, Rikia... One thing these people fail to see is: Mye is my sister, and while we may get into family issues, we’re going to fight and argue.",negative,neutral,"This right here, Rikia... One thing these folks don’t get is: Mye my sister, and yeah, we might have family drama, but we gon’ fuss and argue.",positive
Gemma-3,I'm happy alone because ik that I deserve better! If you like getting treated like shit then I fucking love it,"I’m happy being alone because I know that I deserve better! If you like being treated poorly, then by all means, enjoy it.",negative,positive,"I’m good bein’ by myself ’cause I know I deserve better! If you cool wit’ gettin’ treated bad, then go ‘head and enjoy that.",positive
Gemma-3,I'm not into wearing dresses but I guess I'll wear it for one night your so lucky,"I'm not really into wearing dresses, but I guess I'll wear one for one night. You're so lucky, .",negative,neutral,"I don’t really be wearin’ dresses like that, but I guess I’ma throw one on for one night. You real lucky, .",neutral
Gemma-3,well shit i got cha then nexts Chance i get which is soon..  Daughter told me i need to come get her Now,"Well, I’ve got you then—the next chance I get, which is soon. My daughter told me I need to come get her now.",negative,neutral,"Aight, I gotchu then—the next time I get a chance, which gon’ be soon. My daughter said I need to come get her now.",neutral
Gemma-3,kool Keep me Post on Everything So i can b Ready.. Damn My Brother Gettin Marry..,"Cool. Keep me posted on everything so I can be ready. Damn, my brother is getting married.",positive,neutral,"Bet. Let me know what’s up wit everything so I can be ready. Damn, my brother gettin’ married.",positive
Gemma-3,yea Huh I kno i try to smoke  with u for about a year,"Yeah, huh, I know—I’ve been trying to smoke with you for about a year.",neutral,negative,"Yeah, huh, I know—I been tryna smoke wit you for like a year now.",neutral
Gemma-3,lol cool. Well now food wise can be pushed at 7?  I may cut 6 too close lol,"lol cool. Well, regarding food, can we move it to 7? I might be cutting it too close at 6 lol",neutral,positive,"lol cool. So, bout the food, can we push it to 7? 6 might be cuttin it too close lol",positive
Gemma-3,Soo  Decided to go to the shop W/0 me smh ready to get mi hair&&Nails done todai... :-),"So  decided to go to the shop without me, shaking my head. I was ready to get my hair and nails done today... :-)",positive,negative,"So  went to the shop without me, smh. I was tryna get my hair and nails did today... :-)",negative
Gemma-3,High ASAB Drunk ASAB bout to smash dis cook out tray tho #Outwest Style #Smashing,"Very intoxicated and very hungry, about to devour this Cook Out tray though. #OutwestStyle #Smashing",negative,positive,"Mane, I’m mad lit and mad hungry, ’bout to smash this Cook Out tray tho. #OutwestStyle #Smashin",positive
Gemma-3,If u thuggin n da streets like u say u is u gotta accept everythang dat cums wit it,"If you’re involved in the streets like you say you are, you have to accept everything that comes with it.",negative,neutral,"If you really in these streets like you say you is, you gotta take everything that come wit it.",negative
Gemma-3,Not sad no more I just don't care no more. I be thinking im over reacting but others say im not. But Good Morning anyway -_-,"I'm not sad anymore; I just don't care anymore. I keep thinking I'm overreacting, but others say I'm not. But good morning anyway. -_-",neutral,negative,"I ain’t sad no more; I just don’t care no more. I keep thinkin’ I’m doin’ too much, but folks say I ain’t. But good mornin’ anyway. -_-",neutral
Gemma-3,I like a woman with a future in the pastrA little attitude prob all good it'll make the shit last.,I like a woman with a future and a past. A little attitude is probably all good—it’ll make the relationship last.,negative,positive,I like a woman who got a future and a past. Lil attitude prolly all good—it gon’ make the relationship last.,positive
Gemma-3,not too many...let's ride on these niggas! Lol...FYI I'm in the mood for waffles tomorrow,"Not too many...let's go get these guys! Lol...FYI, I'm in the mood for waffles tomorrow.",negative,positive,"Ain’t too many...let’s go get these dudes! Lol...just so you know, I’m tryna get some waffles tomorrow.",positive
Gemma-3,""" he killed that...i'm letting her do her, in turn she doing me. she on the phone w/ her friends like, how cool is he? """,""" he did an amazing job... I'm letting her be herself, and in return she's treating me well. She's on the phone with her friends like, how cool is he?""",negative,positive,"he did his thing... I’m just lettin’ her do her, and now she treatin’ me right. She on the phone wit’ her girls like, “how cool is he?”",positive
Gemma-3,Lmao very random but I remember when this chick was interning w/ me & didn't want to get involved w/ someone @ work..so I hit her w/a(Cont),"LOL, this is very random, but I remember when this woman was interning with me and didn’t want to get involved with someone at work… so I responded with a (Cont)",negative,neutral,"LOL, this real random, but I remember when this woman was interning wit me and ain’t wanna mess wit nobody at work… so I hit her wit a (Cont)",negative
Gemma-3,I know I misbehave and you made mistakes but we still got some room to grow,"I know I misbehave and you have made mistakes, but we still have some room to grow.",positive,neutral,"I know I be actin’ up and you done messed up too, but we still got room to grow.",positive
Gemma-3,she going to put a nigga on the females and they got what I won't to major in,"she's going to introduce me to the women, and they have the major I want.",negative,positive,"she gon’ introduce me to the women, and they got the major I want.",positive
Gemma-3,"""#ImSingleBecause SHYD, I'm to young to be talkn about setting down with a female right now .""","#ImSingleBecause Honestly, I'm too young to be talking about settling down with a woman right now.",negative,neutral,"#ImSingleBecause Frfr, I’m too young to be talkin’ bout settlin’ down wit a woman right now.",neutral
Gemma-3,""" you will like it , and you left your sweater to at bros house""",""" you will like it, and you left your sweater at bro's house too.""",neutral,positive,"you gon’ like it, and you left yo sweater at bro house too.",positive
Gemma-3,"""Pops done call , and drop a load in my ear , telling me I need to keep my head on right and stay focus with college .""","My dad called and gave me some advice, telling me I need to keep my head on straight and stay focused on college.",negative,positive,My daddy called and told me I gotta keep my head on straight and stay focused on school.,positive
