aae_text,sentiment
@TupacShakur____: Inside my mind couldn't find a place to rest. Until I got that Thug Life tatted on my chest. Tupac,negative
Finna watch this movie and wait for the bae to finish getting his hair done,positive
"""@adriane_317: Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it.""",negative
My bae gone tell me nt to wear my favorite color fuck kinda drugs he smoking,negative
@iKillajay Your  Welcome Love. Seen Your Videos Too You & @iiDayDay Make A Dope Team. Juss Saying,positive
I hope my momma go take me to get a tattoo soon like she said,positive
@Queensboromafia how you gone tell me to dm you but you dont dm back -_-,negative
@LeviDenimFlow you and @Mr_StealYoPlate  should be asleep you guys have class tomorrow n it's almost 2:00! Shame on yall,negative
@AlexisF__ sorry it won't happen again bae lov u u my world I dnt wanna lose u,positive
Boi me an my gf broke up smh. Now i need a friend 2 talk 2,negative
One thing about me ill never tell nobody nun wrong because I then already been there & learnt from it!,positive
"""@FamousWomen: Wherever you go, no matter what the weather, always bring your own sunshine. - Anthony J. D'Angelo""",positive
Dat shyt gone put me rite bak ta sleep n dats wastin it .... nvm,negative
Now dat I left school my attitude is now a good one n# thank god,positive
@TweetWatching_ ...... Cuz ma mom aint pay da bill n I had money for it n dis rump-a-skunk sid spend it so I bought other shyt wit it -_-,negative
"""@WatchYa_Aim Lol  , You Coulda Looked Over It & Act Like Yeen C It . & Terry Want Yo # .""",negative
@JERRI_NoTom Stfu  .  You Know I Fwu 103 TouGh  ( : You MY Nigga Foo '  .,negative
"""I Love My Team  ,  We All That Get Money Shit . Fucc That Hot Shit  .""",positive
"""Lol  ,  Lelani Is NOT Finna Blow My High   !   With Her Stupid Ass @Aha_LadyBug  .""",negative
"""@Aha_LadyBug Lol   ,  Im High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed   .""",negative
"""In Memphis Its A Bunch of Hoes , Broke Niggas , & Bullshit  .  Thats Why I Gotta Get Tf Away From Here  .""",negative
"""I Need To Learn How To Control My Temper  ,  Ima Real Ass Hothead  .""",negative
"""Idgaf Who You Is , Young or Old , Ima Say Whatever I Got To Say !""",negative
I wanna scream and shout and let it all outtt and scream and shout and let it out we sayin' ohhhweeee oh we oh we ohhhhh!,positive
"""Not sure if it's your pride that's too high or if this is really you, but damn.""",negative
"""@TunechiS_LADY I KNOW YOU NOT ARGUING ON THIS SOCIAL NETWORK, which is what these Mfs wanna see?""",negative
"""im chilling until later, cause my bed & i taking care of some unfinished business !""",neutral
Not goin to sleep til she wake dat ass up and call me so until then..... #teamupalldamnnight!!!,negative
If ian give #oomf that money to hold I'll be shit outta luck and broke af!!,negative
Not feelin good and Tyiah just low key pissed me tf off for the day!!,negative
I came just to get my hair did ... but ha girl made it ha business to be there Smh....,negative
Aye tell ya girl she gone have to step ha game up. :) ..... and yess this one for u too!!,positive
The fact that she ain't even try to call or text me since I hung up ..... cool!,negative
@nado_wifey lmao man u really need to grammar check your tweets you sound dumb ass fuck!,negative
"""Bitchhhhhhh , Who Tf You Think You Is. This Bitch Just Walked Upstairs. O_O Where They Do That At?""",negative
"""@GheezLoiKei I Know That's Why I Said It , Lol But One Day Ima Get You HIGH ! #BelieveThat""",positive
@TeamBoosieBoo: God wouldn't put u through nothing u cant handle. What dont kill u makes u stronger!,positive
"""@Contract_cKilla You Already Know I'm Gone Be On Cloud 3,000 When I Go Up In There.""",positive
@SHOOTER__X I Just Been Chilling. Can't Wait Till Spring Break Or Summer So I Can See All Y'all.,positive
@simply__ari You Think I Don't Be Ducking Below Them Windows. I Value My Life !,neutral
If anybody got a probelm W/ Steffanie Keep it 1Hunna & let it be KNOWN !,negative
"""@AllSmilesAlways Nahh , I Wanted To ... But Too Many People Were Around So I Had To Thug It Out.""",neutral
Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.,negative
I Wanna Let You Know How I REALLY Feel ; But My Pride Won't Let Me.,negative
""" @ItsMe_Pootie: Price Tag On yo Head , Leave you laying where ya stand ! """,negative
@Thugg__Life: When I Tell You I Love You That Shit Be True To Me !,positive
Beef is wen you make mistakes less burgers wit your niggas more steak with snakes,negative
I think we can all agree that the real winner in this Te'o fiasco is Catfish,negative
I probably didn't put a lot of mrs Myra's BBQ sauce on my chicken tonight,neutral
Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the heels late,neutral
@Im_KENYATTA Aweee True Imma Be There All Week Next Week! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week,positive
@_YouReadyB i'm goin somewhere @ 12 Imma get chyna to come get you when I'm done,neutral
@_CashoutDetroit I dny hav a msg unless u tlkn bout on meet me bt idc fuck u go bk ta dat btc bye,negative
The World Iz Urz Young Nigga What U Gonna Do Wit It Watch It Make It Work,positive
@alleyboydte @IaMelinaEros I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint All Our Projects Thoe,negative
Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch whoop meek Voice Ball2More City,neutral
@liciarie Love Chi Town Yall Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi,neutral
Hatin AintN Gon Get U Now Were But NA Box Stay Lo Shushh Mob Secrets,neutral
@therealstylesp U Aint Lying Ghost Shit Killin Me Lion Pride Im listenind 2Dis 4Da Rest of Life,positive
If yu my nigga u my nigga then.! I shole dont need no new friend nigga where uu been nigga,neutral
HEARD HE FUCKED DA SHYT OUTTA HA O'WELL SHYT ION CARE AINT MY BITCH I HATE HA ASS,negative
I need to cuddle wit a girl she at ha gma crib BUT FINNA GO BACK TO SLEEP,positive
OBN I go hard fa my squad SQUADDDDDDDDDD IIIIIIGGGGGHHHHTTTT 039 SHYT FUCK DA OPPS FUCK LAWLESS DEM FUCK NIGGAS DIE L'S FUCK CESS,negative
@TreatMe_EatMe_ cause I kno iima be up all nitw e but inna mornin ima be real sleepy,neutral
@Tokiyo_Trending RAGENE STOP TWEETIN ME MAN YO ASS MAD CAUSE ION WNT U I MOVED ON BYE STOP TALKIN TO ME WE AINT GOT SHYT ELSE TO SAY,negative
LOL ion wnt ha to wea noo panties 2ma wen she cum ova onna real,positive
"""@NuNuGhee: Ion Trust People .. I Think ANYBODY ah Set Me Up ! TRUU SHYT #TRUSTNONE""",negative
Folks Dont Know What Keeping They Word Is Anymore That's Why My Trust Fucked! But I'll Die To Keep My Word..,negative
Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess.. In That Case I'll Never Go On A Date LMMFAO,negative
Ask me to come see you at a game and don't even fuckin talk to me #wtf,negative
I luhv bad bytches dats my fkkn problem n yea i like to fkk i gotta fkkn problem,negative
Aww the head manager for West Orange BK called me and thanked me for working there... && said he want me to work there in the summer ..,positive
@kiss_my_lips18 mmm hmmmm datz wat it sound like ta me..my bby godmama kant be into dat lol,neutral
i was thinking about going down to the mall on Monday since I'm off....idk tho,neutral
@ILoveAvis i know it do..i remember the last time i went..i constantly fell down..i thought i was gonna break my ankle in the process lol,negative
@ChanTheMan19 you see they pot him in conf. championship gamer and he made to big catches,negative
Thank you Lord for waking me up this morning ...please give me the strength cuz these ppl irking my nerves,positive
I wonder how many males can lay with a female all night and not hit,neutral
You know the sex is good when it always feels like the first time again.,positive
I'm doing pretty good of not talking to my mom.... its been 2 days I think... HARDCORE,negative
Celtics lost to the Bulls now 20-19 on the season. Just take it one game at a time for number #oomf !!!,negative
Chief Keef Is 17 Years Old. His Baby Mama Is In The 8th Grade. & He Is Currently In Juvi For Violating Probation. This Is Yalls Role Model?,negative
Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.,neutral
I have so much to do today but my first priority this morning was to spend time with my lil mama.,positive
"""Lol just called my babe to tell him that ima go to the army, we're gonna get married and be together forever""",positive
"""Think ima go get my hair braided! I'm taking one weekend off, just me and him""",positive
Something's are meant not to be said && I was about to say something but I'm not,negative
"""I know he see me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again""",negative
My aunt is looney tho... ion know why she thinking I'm pregnant!  I gotta go,negative
"""Wish I was with my babe. But overall,  o enjoy my day with the co-workers""",neutral
"""Me and your son has something special going on .. Don't try to fuck it up, or get fucked""",negative
@CoCoChanel_92 yes yes.... But now that I work I get my own. Ima have a couple of kids do he can spoil em,positive
It seems like Everybody child calling me aunt Kisha or they thinking I'm their big sister who don't gives two fucks about em lol,neutral
"""I'm not rushing it, I'm just ready to get that shit outta the way ...""",negative
"""Don't nobody like drama but his pussy ass... It's all good, I only have a couple of months left""",negative
"""@x_Monaeee Hoes Please Don't Tagg Me Now , Yoo Wasn't A Few Seconds Ago , Got Niggas Fighting Yoo Battles You Still The Same Scary Ass Bitch""",negative
I like him too much to stop buht I LOVE him way too much to keep goin I think I kno wat I gotta do,negative
Bitches still mad Rihanna went back to Chris Brown.. Like y'all don't keep taking back the same Bum Nigga every 2 weeks!,negative
TWITTER : GET'S #HORNY AROUND 3&4 IT'S LIKE A #HOTLINE BUT ONLY ON YAH (((( TL))))),neutral
@rouseyG_boss I understand dat don't write me a SA lmao but if u invited her u paying!  did this happen to u?,negative
"""@ImDearlyBeloved OMG my sister  lol this girl man!  I love being around her she makes me Happy which is rare! She's a keeper""",positive
"""You changed my whole liiiffffeee don't know what u doin to me with your love, I'm feeling all super human you did this to me!""",positive
@FUk_A_FAiryTale i knw yu do hear em squeeze wat yu gne fuk nd suck him up t2,negative
"""Lhh, idk I told aaliyah you was just playing & she said oh well sabrina know now ,""",neutral
It's undeniable dat we should  b togetha unbelievable how I use to say I dat ill fall neva the basis is need 2 kno if u dont kno  how I feel,neutral
@IonLuvTheseH_s  damn I thought me and you were better than this I thought u liked me,negative
You saying that's yo girl ain't saying shit like prank callers cause it's a small world and hoes make it even smaller.,negative
So wen they lose in the super bowl where ya dickeater gonna b at den ?,negative
@Quise_Sosa yea im bout to slide to my aunt crib cause its my lil cousin bday but i b back,positive
God forgive me for the sins i did and the i will do in the future,negative
Yo this bitch in schoil to bay tryed to grind me up .oh no she was a fuck duck lick no lay grind her the fuck up ctfu,negative
"""Life is fair - made up of millions of moments - most of themrglorious.-Douglas Holzmeier""",positive
"""My room is not messy , it is an obstacle course designed to keep me fit .""",positive
Mfs kill me when they say im thick as FUCK come on now I ain't that thick,neutral
It ain't nothing like the first time im tryna tell u I can blow ya mind,positive
I did u wrong u did me wrong ill take u back u take me back,negative
Lmao this fool bout to be 21 and got a 16 year old pregnant. #Maury,negative
"""I Busted Josh Ass In 2K13 Today... With LeBron, He Fucked Me Up In Madden But I Destroyed Him On 2K' #SouthBeachIsKING""",positive
I Wonder If THE People Who Don't Deserve What I Want Go Thur What I Go Thur...,negative
"""Letting  the one come to me. I'm not waiting for nobody at this point""",positive
@BigGhostFASE he done the shit all of his career. Why stop now? It obviously worked out aiight for him,negative
@Big__Reed @ChocoVelvetBone @MsShellyNicole yall mess with my big brutha imma have yall sleeping with the fishes !,negative
i lowkey miss my State friends . get to see them next week so its cool !,positive
suppose to be having lunch with oomf but idk if imma wake up in time .,negative
"""i spoke to @BIG_TONY_SOS today . he looked at me like who df is youu? lol""",neutral
"""lmao ! hey LaQuanda , i got 4 people on hold but i can talk !""",positive
am i the only one that wanna relationship where we can fuck all night til things get right ? ijs,neutral
why do i feel like this classroom is set up like some final destination type shit ? lol,negative
hot ass room + walking everywhere + no fast food = one FINE ass taylor :),positive
am i a fool for youu ? or is there a force behind my actions ?,neutral
all unanswered questions that can be solved by one night .. one night we will never get .,negative
im not walking my ass back to abernathy . i refuse . yall can have that .,negative
done packing . finna watch the tv looky box til i get that call in the morning saying we in the way .,neutral
"""@Super_Model101: @_noHAIRandBADD: i need a valentine . I will be your valentine!!// yay !!!! :)""",positive
"""I can't see em coming down my eye, so I gotta make the song cry""",neutral
"""Its like as soon I cum,I come to my senses. I would say these hoes names then I would be snitching""",negative
The feeling of knowing that you don't have to wake up in the morning >>>>,positive
I don't catch sub tweets no more cause I rarely scroll down my TL anymore I just tweet and get off lol,neutral
I met that girl I had to spoil her cause that girl she so #loyal,positive
Its funny how my name always in your mouth but your name doesn't cross my mind,negative
Really bout to blow this nigga phone up and tell him what's on my mind!,negative
I dnt think about sex in my life like that i rather do it to tha bitch i use to fuck D.G but shit she hate me tragic,negative
Yu always gotta have ah bitch that got yo back if yu dnt yu aint shit,negative
Yu want me too come ova so we can tlk but I just want to come ova just so we can fuck if yu aint dwn den move around (just words spoken),negative
"""& then they play  tuff tony  but whole time cant fight like bitch sit down & shutup""",negative
ummm how tf you tell me to text you but you dont text back !? . #subtweet,negative
#10thingsaboutmycrush he got gum stuck on his arm from when he was a baby .,neutral
i remember that day #oomf pulled my bathing suit string & my bottoms came off in the pool <<< dfl .,negative
somebody deleted Ruzzle off my phone * grabs knife * who dying tonight !? .,negative
Females always tryna argue wen ah nigga haven a bad day jus shutupbitch  #These Hoez Be Actin Up....,negative
Gotti make some of these females look like fools and they be ready to claim the title,negative
"""Every1 deserves some space without any repercussions or accusations, especially when s/he is always 110% when there. JWFitn#metimeisvital""",positive
Mind jus rewinded all da way bak watchn my nigga @SterloC4 highlight tape.. We ran da tournaments.. Outta twn n all..,positive
"""I want ah nigga who gone beat my ass when I'm doing shit wrong,not in ah bad way bhut to be in dat with me& any nigga..!!""",negative
If ah nigga every wanna think about hitting me mf u betta twice on me I will fight niggaz too I'm just saying I'm not or I'm not scared!!!,negative
"""If you gone tell sumn , tell when I said it help , don't wait til fuckin weeks later""",negative
"""So she cooking pig feet , neck bones , black eye peas , greens , and corn bread ...,tf , ion eat none of that shit""",negative
Gotta big dick so which one of you hoes gone let me murder yo throat ...,negative
Take me for who I am if you don't like it then suck my dick,negative
"""Dedria know she a POP no damn Molly , she prob don't even know what a Molly is , lls""",negative
"""@BeautyPixkz_Gee nope aine see her there ,,,..buy knowing me I'll end up gettin real mad and then go to her house""",negative
"""Got clothes err where , shoes err where , m&ms bag err where , taaka bottle over there , ugh its junky""",negative
rainy days fade away when you come around say you here to stay with me boy I don't want you tellin me I need you,positive
"""Even.when the sky comes falling , even.when the sun don't shine , I got datum in you and I""",positive
"""I need a blunt , need to pop a pill , need a strong drink , need some good head , and some dick""",negative
"""SuuuWooo bitch I do this shit  , I'll erase you like I drew you bitch""",negative
"""Tf.,you expect be to forgive your trifling dog ass and stay.,,uh tf I look.like , booboo the fool ?""",negative
"""I.keep on falling in love with you , sometimes I love you sometimes you make me blue""",neutral
I'm just talkin all this noise for nun cause ima end up changing my mind and watching her,neutral
"""@ThatDamnNeika lol ima good child lol , and you need to cause I be super bored up here""",neutral
Jps already broke.... If one of these buses flip over... Jps will be no more,negative
Don't wanna go to school tomorrow. Walker --> will get snapped onnJefferson's Student---> cursed outnCoach Weeks and Student--> gone box,negative
Guess what!!!! I don't give a fuck!!! Let me check my attitude sorry if I'm being rude...,negative
Never b good to a nigga with no good tendencies!!!niggas the sane thing cause its some no good ass hoes out here!!,negative
I love selling drugs it makes my son happy he will neva Kno Daddy Sell Drugs unless somebody say kha'marie yo Daddy On....#FastMoney....,negative
"""Can Yoo BestFran , Cuss He Text Me On A Late Nite He Trynna Gve Me Some Head !""",positive
"""gracias a todos los que me felicitado en este dia, estoy muy agredecido con todos por dedicarme un poquito de su tiempo grcias amigos :)...""",positive
@LoVeHaThAwAy_ Ba better text you with 6 y's in hey!!!!! Cant beleave he called you by his ex oh naww smfh!,negative
what is with our age group these days ya nigga talk bout sex eatin pussy sucking dick like nigga your suspose to talk about kissin Nd huggin,negative
"""Only things on my agenda to do today is:wash my ass, brush my teeth and get my car detailed!!""",neutral
How deep is our bond if it all it takes is for you to be gone,negative
"""I can't really explain it, I'm so into you now. I wanna b more then a friend to you now""",positive
If it wasn't for my rest view mirror I would fuckin all types of shit up lol,positive
Damn they sent my nigga Peyton home n ray Lewis wit dat male emotions shit,negative
Hop off my dick and tell yo bitch to get on it we da money team dey can't get on it,negative
If a nigga hatin I dont need you bro I'm da type nigga who don't need a hoe,negative
@CMPunk The one thing I respect most is this mans unflappable nature. Everything that happens just proves his points... Punk retains I bet,positive
"""smh , yall Need to quit , wat a very rude way to come at someone , Smh , wat is it with these females that attracted to their gender ?""",negative
""". not een In no Mood , but iManage to smile , cause no1 has made me mad .""",positive
"""seent  @iRock_NoStar , @iiFear_NOT , & @_DopeyyDiva some ignorant Textss . iWas bored at 4 diss mornin .""",negative
""". IF You can beat ne rockin , you can havs my chair , cause aint too many men that can do wat ido out there ,""",positive
""". no1 should die, the way these folks are dieing <<<< falling down steps? ifell down them CONCRETE steps at JSU , & Im Alive !""",negative
"""THE DAY I RUN FROM (ANY)BODY WALKING THA SAME GROUND & BREATHING THA SAME AIR AS ME , IS THA DAY I WILL TAKE OFF MY HAT ND SALUTE 'EM !""",positive
. telling Dee this stuff and iwas told not to tlk about it anymore .. but she sed ikn trust herr .,negative
"""#HonestHour --> iOn Have NUN Against NOBODY Why folks dont likee , me , iDontt knoee. honestly IDC !""",neutral
. not going to see Texas Chainsaw Massacre .. tomar . im Goin WEEK AFTER NEXT . That mfreaker better b still playing !,positive
bestfrenn comin ova my house tomar .. get thoa fONKey project out tha way ...,negative
. Dont like me ? fine . ian Wake up ta Impress you . ion Owe yall mfers NUN !,negative
""". imma hit it from tha front , back, side , sidee, girl i LOVE Tha wayy u do it #JAMMIN !!""",positive
"""@JonteikaB . Naww , it WASNT , But iF u Be lookin At me , then sure it could be .""",neutral
. Neshia so shy !! lord um Jus like ha .. iwouldnt tell a squirrel hey ! im jus that shy !!!,neutral
"""my BiggSiss / BurntCookiee told mee ta take myy butt taa sleep , soo BYE YALL :(""",negative
"""Fuck all those kisses they didn't mean jackn Fuck you, you hoe, I don't want you back""",negative
had meh walkin 3days n dah cold nn rain ii got dayy ass doe >>>>,negative
na uu want get det answer no time soon ... um #MIA nn yo life nigga....,negative
wus bout tooh go tooh sleep butt ii got tooh talkin tooh q bout sum stuff nii um uph thankin  nn um bored talkin tooh halle doe >> my #love,positive
"""I'm channeling my inner Jay Cutler when I say DON'T CARE, Miami was fun as hell.""",positive
Stalee Ahss Weavee These Hoes Bhee Havin.. Flip That Shitt && Itt Don't Go No Wheree .. Need Somee Oill Sheenn Uhh Somee..,negative
"""If It Walk Likee Ah Duck, Talk Likee Ah Duck.. Ihts Ah - - > Duckk!!!""",neutral
Next Person To Hitt Myy Shitt Gonee Get Shott.. If Itss Myy Fault Or Not,negative
I Wouldn't Dareee Jump Nobody.. That Shitt Makee Mhee Feel Likee I Can't Handle Myy Business. Pluss That Shitt Justt Ain't Coool. RNS,negative
Shaggy Hadd Mhee Overr Here Worriedd.. He Stayy Laughinn & To See Himm Snappin Wass Likeee Wowwww..,positive
Im finally bout to go back to school I got to be on my shit doe,positive
Good morning. School have came back to soon but i gt to get with da program,neutral
Im not in a good mood thos morning i might as well just fkin quit school man,negative
@souljaboy @Bestie567 ..!$@$   GO SO HAM TO GAVE SUN TO MORE THEN THE U.S.A. HA WHAT YES THE WORLD ......,neutral
B was a Hot Head Before He Got His Bullets He Was Sayin He Boutta Go Rob a Nigga Lol,negative
@naturalbeauti93 oooo. Where you in school at I forgot . I'm ready to be in a hospital maaan,neutral
I be missing her when she gone but when she gets here she is the devil .,negative
"""@KoKane_Kowgirl damn , did dey really have 2choose the babies to kill tho then this dummy shot himself & his ma . Df he was gettin outta dis""",negative
S/o @jeriadannette_ no matter who we hung around we NEVER stop talking to eachother. We use to have soo much fun in class. I miss her!!!,positive
I don't know if the daycare is open or not I just rather keep noonie home w/ me.,negative
If anybody know they know I like to make ppl laugh! I like seeing people HAPPY!,positive
