aae_text,sae_text
look around 2:13 a.m Myself jumped up and was like self!? Itold myself huh? Myself sed.bitch yu 4gt to call ai.! myself sed damn!,"I looked around at 2:13 a.m. and suddenly jumped up and said, ""Self!?"" I told myself, ""Huh?"" Then I said, ""Girl, you forgot to call Ai!"" And I said, ""Damn!"""
I love yu lol i am after class..bt fina txt yu now cus I jus gt slick pissed.  .,"I love you lol. I am out of class, but I’m going to text you now because I just got really upset."
right I need to cheer up because he's in a better place and people blaming honey cocaine,"You're right, I need to cheer up because he's in a better place and people are blaming Honey Cocaine."
ha ha ha pretty much that 97-2002 class was real smooth from every school,"Haha, pretty much, that 1997-2002 class was really smooth at every school."
after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to get to washington,"After-school traffic at Washington decreased. Also, as soon as it got warm during the school year, people left Tech early to get to Washington."
chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all the time lol lol,"Women would be too shy to talk to me after the basketball games, but they would find me on BlackPlanet and reach out to me all the time, haha."
is too funny this nigga changed his name to his bp name lol lol lol,"is so funny, he changed his name to his BlackPlanet name, lol lol lol."
yall sure did and we had a couple also i wanna thank the locker room at jackie robinson for letting me get head and fingerin game,"You all definitely did, and we had a couple as well. I also want to thank the locker room at Jackie Robinson for letting me receive oral sex and for the fingering experience."
i thought yall school had a sex scandal from all those nuns being in the same place with no penis around,I thought your school had a sex scandal because all those nuns were in the same place with no men around.
its gonna be alot of headlights on this cold am the big nipples are out,There are going to be a lot of headlights this cold morning—the big nipples are out.
"""You don't mess with the Juice!n I gave you silk suits, blue diamonds and gucci handbags.n I gave you things you couldn't even pronounce!""","""You don't mess with the Juice! I gave you silk suits, blue diamonds, and Gucci handbags. I gave you things you couldn't even pronounce!"""
wheres is the jayer  at with her goofy ass i saw her begging for change in the middle of the grand ave mall the other day ha,Where is Jayer  with her silly self? I saw her begging for change in the middle of the Grand Avenue Mall the other day. Ha.
Word of advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu,"Here’s some advice: if it’s really cold, don’t let anyone use your jacket trying to be a gentleman—you’re going to catch the flu."
"""It's freezing cold in my house but my mom still expects me to get up and put all these clothes away , hmm idk about it""","It’s extremely cold in my house, but my mom still expects me to get up and put all these clothes away. Hmm, I’m not so sure about that."
only the last half hour.. Bout to watch the beginning. But this headache is stopping me.,Only the last half hour... I'm about to watch the beginning. But this headache is stopping me.
So she just outed him to his wife cause he didn't give her the job. Smh.,So she revealed his secret to his wife because he didn’t give her the job. Shaking my head.
She ain't gonna see anything unless I @ her cause she is a lil on the nice side.,"She won’t see anything unless I mention her, because she is a little on the quiet side."
Reconnecting with someone you've know for years that you have seen for a really long time... Priceless!,Reconnecting with someone you've known for years that you haven't seen in a really long time... Priceless!
Damn. Checks bank account. I think I'll pay my bills and stay my ass in Philly instead.,Damn. Checks bank account. I think I'll pay my bills and just stay in Philadelphia instead.
Exactly why I need a change... Not being able to do what you want when you want it sucks!,This is exactly why I need a change... Not being able to do what you want when you want to is terrible!
When people email you instead of texting or calling that means they shouldn't be talking to you in the first place.,"When people email you instead of texting or calling, it means they shouldn't be communicating with you in the first place."
So at 2PM I was super tired. Now at almost 1AM my body is like naw it aint time to sleep yet. Wtf??,"So at 2PM I was very tired. Now, at almost 1AM, my body is like, ""No, it isn’t time to sleep yet."" What the heck?"
But then my alarm is gonna go off at 5:30 and I'm not gonna wanna get up,But then my alarm is going to go off at 5:30 and I’m not going to want to get up.
I guess I need to lightly toast this bread so I can make a sandwich. Cause using the microwave proved to be a failure,"I suppose I need to lightly toast this bread so I can make a sandwich, because using the microwave turned out to be a failure."
I can see working with dude will guarantee me out of work late every time.,I can see that working with him will guarantee that I get out of work late every time.
Finding this new thing to be quite interesting. I should have some fun with this...,I find this new thing quite interesting. I think I’ll have some fun with it…
Can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.
gotta find out if the folks still going down or not. But I'm going back when the boy gets outta school.,I need to find out if everyone is still going or not. But I’m going back when my son gets out of school.
I can't treat but if you find a friend makes sure he has another.,"I can’t pay, but if you find a friend, make sure he has another one."
I swear I'm gonna go to sleep and its gonna feel like I gotta get right back up.,I swear I'm going to go to sleep and it's going to feel like I have to get right back up.
As soon as I stop caring... Here you come.. Leave me in my friend zone! I'm cool there.,As soon as I stop caring... here you come. Leave me in my friend zone! I'm fine there.
Last Tuesday I forgot my meds at home. This Tuesday will probably be no different.,"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different."
"""If I ever say I think I'm from southwest please proceed to smack the sh*t outta me!""","""If I ever say that I think I'm from Southwest, please proceed to smack the shit out of me!"""
"""Somebody ask me where you from.. My first answer is Philly. They wanna know where in Philly and Imma tell em. But if I say I think.....""","Someone asks me where I’m from… My first answer is Philadelphia. They want to know where in Philadelphia, and I’ll tell them. But if I say I think…"
Hardest I've ever worked In one day in 4.5 years. I still don't like the job tho.,"This is the hardest I have worked in a single day in 4.5 years. I still do not like the job, though."
Females are the pettiest people.. I see why mfs don't like havin none or too many as friends..,Women are the pettiest people. I see why people don’t like having any or too many as friends.
She didn't leave you for making too many mistakes she left because you made the same mistakes too many times..,She didn’t leave you because you made too many mistakes; she left because you made the same mistakes too many times.
Lol dumb ass  if I say half the girls I fucked or saw naked I fuck yo life up,"Lol, idiot. If I mentioned half the girls I’ve slept with or seen naked, I’d ruin your life."
I don't get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash,I don't understand girls—they try their hardest to get involved with a guy who might support them or look out for them just because he talks about money.
Smh what are you gone dick suck let me guess whatever team that's winning Smh where are the true fans,"Shaking my head, what are you going to support—let me guess, whichever team is winning. Shaking my head, where are the true fans?"
I hate people that just swear they be mad all the time bitch smoke some weed and be happy,I dislike people who always claim they're angry. Just smoke some weed and be happy.
Girls like girls boys like boys it don't matter to me just don't fake it you are who you are,"Girls like girls, boys like boys—it doesn't matter to me. Just don't pretend; you are who you are."
Damn that way I miss girl cuz I know she would drink with and blow that loud.,"Damn, that's why I miss her, because I know she would drink with me and smoke that loud."
I'm so use to the past I don't know if I can take what's happening now,I'm so used to the past that I don't know if I can handle what's happening now.
I try fuck with one girl but she keep swearing u fuck with other girls,"I try to be with one girl, but she keeps insisting that I’m involved with other girls."
Sometimes ii Feel ii talk Da Most Shit..Bt Den ii B Like..Who Da Fukk Gone Check Me..??,"Sometimes I feel like I talk the most trash, but then I’m like, who the hell is going to check me?"
Bitches give Dey self a reason too hate Me..Hell Y not jus Make it 2.!,"Women give themselves a reason to hate me... Hell, why not just make it two!"
Everybody walking around wanna B Bad...But wen it Aww Boils Down Dese Bitches ain't Bad after aww.!,"Everyone is walking around wanting to be tough... But when it all comes down to it, these people aren't really tough after all."
You Can't B happy having So Much hatred in Yo life#Some Shit ain't gone turn out right.!,You can't be happy having so much hatred in your life. Some things just aren't going to turn out right.
Mii nose Making Me Mad af I swear..It's aww Stopped up in Shit..Fucking With me..A nigga Can't Fuckin Breath fr,"My nose is making me really mad, I swear. It's all stuffed up and bothering me. I can't even breathe for real."
Can't wait for duflocka rant 2 shit gonna be hard ass fuck like tht metal jacket2,"I can't wait for Duflocka Rant 2; it's going to be extremely hard, just like that Metal Jacket 2."
: Inside my mind couldn't find a place to rest. Until I got that Thug Life tatted on my chest. Tupac,": Inside my mind, I couldn't find a place to rest until I got ""Thug Life"" tattooed on my chest. —Tupac"
Finna watch this movie and wait for the bae to finish getting his hair done,About to watch this movie and wait for my boyfriend to finish getting his hair done.
""": Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it.""","""Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it."""
My bae gone tell me nt to wear my favorite color fuck kinda drugs he smoking,My boyfriend is going to tell me not to wear my favorite color—what kind of drugs is he on?
Your  Welcome Love. Seen Your Videos Too You &  Make A Dope Team. Juss Saying,"You're welcome, love. I've seen your videos too. You and  make a great team. Just saying."
I hope my momma go take me to get a tattoo soon like she said,I hope my mom is going to take me to get a tattoo soon like she said.
how you gone tell me to dm you but you dont dm back -_-,How are you going to tell me to DM you but then not DM me back? -_-
you and   should be asleep you guys have class tomorrow n it's almost 2:00! Shame on yall,you and  should be asleep; you both have class tomorrow and it's almost 2:00! Shame on you all.
sorry it won't happen again bae lov u u my world I dnt wanna lose u,"Sorry, it won't happen again, babe. Love you. You are my world. I don't want to lose you."
Boi me an my gf broke up smh. Now i need a friend 2 talk 2,"Boy, my girlfriend and I broke up, shaking my head. Now I need a friend to talk to."
One thing about me ill never tell nobody nun wrong because I then already been there & learnt from it!,One thing about me is I'll never tell anyone anything is wrong because I’ve already been through it and learned from it!
""": Wherever you go, no matter what the weather, always bring your own sunshine. - Anthony J. D'Angelo""",""": Wherever you go, no matter what the weather is like, always bring your own sunshine. - Anthony J. D'Angelo"""
Dat shyt gone put me rite bak ta sleep n dats wastin it .... nvm,That stuff is going to put me right back to sleep and that's wasting it... never mind.
Now dat I left school my attitude is now a good one n# thank god,"Now that I have left school, my attitude is better now and thank God."
...... Cuz ma mom aint pay da bill n I had money for it n dis rump-a-skunk sid spend it so I bought other shyt wit it -_-,"...... Because my mom didn’t pay the bill and I had money for it, but this person went and spent it, so I bought other stuff with it -_-"
""" Lol  , You Coulda Looked Over It & Act Like Yeen C It . & Terry Want Yo # .""",""" Lol, you could have just ignored it and acted like you didn’t see it. And Terry wants your number."""
Stfu  .  You Know I Fwu 103 TouGh  ( : You MY Nigga Foo '  .,"Be quiet. You know I mess with you 103 percent, for real. You're my close friend."
"""I Love My Team  ,  We All That Get Money Shit . Fucc That Hot Shit  .""",I love my team. We’re all about making money. Forget that drama.
"""Lol  ,  Lelani Is NOT Finna Blow My High   !   With Her Stupid Ass   .""","Lol, Lelani is NOT going to ruin my good mood! With her foolish self ."
""" Lol   ,  Im High Bitch I Thought I Asked . Damn Hoe , Excuse The Weed   .""",""" Lol, I'm high, I thought I asked. Damn, sorry, excuse the weed."""
"""In Memphis Its A Bunch of Hoes , Broke Niggas , & Bullshit  .  Thats Why I Gotta Get Tf Away From Here  .""","In Memphis, there are a lot of promiscuous women, broke men, and nonsense. That’s why I have to get away from here."
"""I Need To Learn How To Control My Temper  ,  Ima Real Ass Hothead  .""",I need to learn how to control my temper. I’m really a hothead.
"""Idgaf Who You Is , Young or Old , Ima Say Whatever I Got To Say !""","I don’t care who you are, young or old, I’m going to say whatever I have to say!"
I wanna scream and shout and let it all outtt and scream and shout and let it out we sayin' ohhhweeee oh we oh we ohhhhh!,"I want to scream and shout and let it all out, and scream and shout and let it out. We're saying, ""Oh, we, oh we, oh we, oh!"""
"""Not sure if it's your pride that's too high or if this is really you, but damn.""","I'm not sure if your pride is just too strong or if this is truly who you are, but wow."
""" I KNOW YOU NOT ARGUING ON THIS SOCIAL NETWORK, which is what these Mfs wanna see?""","I know you are not arguing on this social network, which is exactly what these people want to see."
"""im chilling until later, cause my bed & i taking care of some unfinished business !""","I'm relaxing until later, because my bed and I are taking care of some unfinished business!"
Not goin to sleep til she wake dat ass up and call me so until then..... #teamupalldamnnight!!!,"I’m not going to sleep until she wakes up and calls me, so until then… #teamupalldamnnight!!!"
If ian give #oomf that money to hold I'll be shit outta luck and broke af!!,"If I don’t give one of my followers that money to hold, I’ll be completely out of luck and very broke!"
Not feelin good and Tyiah just low key pissed me tf off for the day!!,"I'm not feeling well, and Tyiah just really annoyed me for the day!"
I came just to get my hair did ... but ha girl made it ha business to be there Smh....,I came just to get my hair done ... but her friend made it her business to be there. Shaking my head....
Aye tell ya girl she gone have to step ha game up. :) ..... and yess this one for u too!!,"Hey, tell your girl she’s going to have to step her game up. :) … and yes, this one is for you too!"
The fact that she ain't even try to call or text me since I hung up ..... cool!,The fact that she hasn't even tried to call or text me since I hung up... cool!
lmao man u really need to grammar check your tweets you sound dumb ass fuck!,"LOL, man, you really need to grammar check your tweets—you sound dumb as fuck!"
"""Bitchhhhhhh , Who Tf You Think You Is. This Bitch Just Walked Upstairs. O_O Where They Do That At?""",Who do you think you are? This woman just walked upstairs. Where does that even happen?
""" I Know That's Why I Said It , Lol But One Day Ima Get You HIGH ! #BelieveThat""",""" I know, that’s why I said it. Lol. But one day I’m going to get you high! #BelieveThat"""
: God wouldn't put u through nothing u cant handle. What dont kill u makes u stronger!,: God wouldn't put you through anything you can't handle. What doesn't kill you makes you stronger!
""" You Already Know I'm Gone Be On Cloud 3,000 When I Go Up In There.""",You already know I’m going to be extremely excited when I go in there.
I Just Been Chilling. Can't Wait Till Spring Break Or Summer So I Can See All Y'all.,I’ve just been relaxing. I can’t wait until spring break or summer so I can see all of you.
You Think I Don't Be Ducking Below Them Windows. I Value My Life !,You think I don’t duck below those windows? I value my life!
If anybody got a probelm W/ Steffanie Keep it 1Hunna & let it be KNOWN !,"If anyone has a problem with Steffanie, be honest and make it known!"
""" Nahh , I Wanted To ... But Too Many People Were Around So I Had To Thug It Out.""","No, I wanted to, but there were too many people around so I had to tough it out."
Anybody Who Knows Me Should Know That I'm One Of The Nicest People You'll Ever Meet ................Unless I Don't Like You.,Anyone who knows me should know that I am one of the nicest people you will ever meet... unless I do not like you.
I Wanna Let You Know How I REALLY Feel ; But My Pride Won't Let Me.,"I want to let you know how I really feel, but my pride won't let me."
""" : Price Tag On yo Head , Leave you laying where ya stand ! """,""": There’s a price on your head; I’ll leave you lying where you stand!"""
: When I Tell You I Love You That Shit Be True To Me !,": When I tell you I love you, I truly mean it!"
Beef is wen you make mistakes less burgers wit your niggas more steak with snakes,"Beef is when you make mistakes—fewer burgers with your friends, more steak with snakes."
I think we can all agree that the real winner in this Te'o fiasco is Catfish,I think we can all agree that the real winner in this Te'o fiasco is Catfish.
I probably didn't put a lot of mrs Myra's BBQ sauce on my chicken tonight,I probably didn’t put much of Mrs. Myra’s BBQ sauce on my chicken tonight.
Don't feel bad about this loss. This is what state is supposed to do. Glad to see some fight in the heels late,Don’t feel bad about this loss. This is what State is supposed to do. I’m glad to see some fight in the Heels at the end.
Aweee True Imma Be There All Week Next Week! Though They Goofy Ass Suspended Me Lol Imma Be Good Next Week,"Aww, that's true. I’m going to be there all week next week! Even though their silly selves suspended me, lol, I’m going to behave next week."
i'm goin somewhere @ 12 Imma get chyna to come get you when I'm done,I'm going somewhere at 12. I'll have Chyna come get you when I'm done.
I dny hav a msg unless u tlkn bout on meet me bt idc fuck u go bk ta dat btc bye,"I don’t have a message unless you’re talking about on MeetMe, but I don’t care, fuck you, go back to that bitch, bye."
The World Iz Urz Young Nigga What U Gonna Do Wit It Watch It Make It Work,"The world is yours, young man. What are you going to do with it? Watch it, make it work."
I Phuck Wit Alley Lano Nigga East Baltimore Latrobe Dat Aint All Our Projects Thoe,"I mess with Alley Lano, man. East Baltimore, Latrobe. But that's not all of our projects though."
Rappers Talkin Trappin Never Seen Ah Hunna Mill If U Audamear aint 100 den ya shit aint real b gone bitch whoop meek Voice Ball2More City,"Rappers talk about trapping but have never seen a hundred million. If your Audemars isn’t a hundred (thousand), then your stuff isn’t real. Be gone, bitch. (In Meek Mill’s voice.) Baltimore City."
Love Chi Town Yall Gotta Chill On Da Killin Make It Work Yo Gotti Voize Dats Why Im Dolo Ball2More Love Thoe Everybody N Da Chi,"I love Chicago. You all need to calm down with the violence and try to make things work—in Yo Gotti’s voice. That’s why I’m alone in Baltimore. Much love to everyone in Chicago, though."
Hatin AintN Gon Get U Now Were But NA Box Stay Lo Shushh Mob Secrets,"Hating isn’t going to get you anywhere, but in a box. Stay low and quiet—mob secrets."
U Aint Lying Ghost Shit Killin Me Lion Pride Im listenind 2Dis 4Da Rest of Life,"You aren’t lying, Ghost. This is amazing. Lion pride. I’m going to be listening to this for the rest of my life."
If yu my nigga u my nigga then.! I shole dont need no new friend nigga where uu been nigga,"If you’re my friend, you’re my friend then! I definitely don’t need any new friends—where have you been?"
HEARD HE FUCKED DA SHYT OUTTA HA O'WELL SHYT ION CARE AINT MY BITCH I HATE HA ASS,"I heard he had sex with her. Oh well, I don't care. She's not my girlfriend. I can't stand her."
I need to cuddle wit a girl she at ha gma crib BUT FINNA GO BACK TO SLEEP,"I want to cuddle with a girl, but she’s at her grandma’s house, so I’m just going to go back to sleep."
OBN I go hard fa my squad SQUADDDDDDDDDD IIIIIIGGGGGHHHHTTTT 039 SHYT FUCK DA OPPS FUCK LAWLESS DEM FUCK NIGGAS DIE L'S FUCK CESS,"I go hard for my squad. Squad! Alright! 039 stuff. Forget the opposition, forget Lawless and them, forget those guys. Take losses. Forget Cess."
cause I kno iima be up all nitw e but inna mornin ima be real sleepy,"because I know I’m going to be up all night, but in the morning I’m going to be really sleepy."
RAGENE STOP TWEETIN ME MAN YO ASS MAD CAUSE ION WNT U I MOVED ON BYE STOP TALKIN TO ME WE AINT GOT SHYT ELSE TO SAY,"Ragene, stop tweeting at me. You're just upset because I don't want you. I've moved on. Goodbye. Stop talking to me—we have nothing else to discuss."
LOL ion wnt ha to wea noo panties 2ma wen she cum ova onna real,"LOL, I don't want her to wear any panties tomorrow when she comes over, for real."
""": Ion Trust People .. I Think ANYBODY ah Set Me Up ! TRUU SHYT #TRUSTNONE""",""": I don't trust people. I think anybody could set me up! True stuff. #TRUSTNONE"""
Folks Dont Know What Keeping They Word Is Anymore That's Why My Trust Fucked! But I'll Die To Keep My Word..,People don’t know what it means to keep their word anymore. That’s why my trust is messed up! But I would die to keep my word.
Some Muh Fuggas Expect For Females To Suck Some Dick Or Some For All That I Guess.. In That Case I'll Never Go On A Date LMMFAO,"Some people expect women to perform oral sex or do even more, I suppose. In that case, I guess I'll never go on a date. LMAO"
Ask me to come see you at a game and don't even fuckin talk to me #wtf,Ask me to come see you at a game and then you don’t even talk to me. #wtf
I luhv bad bytches dats my fkkn problem n yea i like to fkk i gotta fkkn problem,"I love attractive women, that’s my problem, and yes, I like to have sex—I have a serious problem."
Aww the head manager for West Orange BK called me and thanked me for working there... && said he want me to work there in the summer ..,"Aww, the head manager of West Orange Burger King called me and thanked me for working there, and said he wants me to work there in the summer."
mmm hmmmm datz wat it sound like ta me..my bby godmama kant be into dat lol,"Mmm hmm, that's what it sounds like to me. My baby's godmother can't be into that, lol."
i was thinking about going down to the mall on Monday since I'm off....idk tho,I was thinking about going to the mall on Monday since I have the day off... I’m not sure though.
i know it do..i remember the last time i went..i constantly fell down..i thought i was gonna break my ankle in the process lol,"I know it does. I remember the last time I went—I kept falling down. I thought I was going to break my ankle in the process, lol."
you see they pot him in conf. championship gamer and he made to big catches,Did you see they put him in the conference championship game and he made two big catches?
Thank you Lord for waking me up this morning ...please give me the strength cuz these ppl irking my nerves,"Thank you, Lord, for waking me up this morning. Please give me the strength because these people are getting on my nerves."
I wonder how many males can lay with a female all night and not hit,I wonder how many men can lie next to a woman all night and not have sex with her.
You know the sex is good when it always feels like the first time again.,You know the sex is good when it always feels like the first time again.
I'm doing pretty good of not talking to my mom.... its been 2 days I think... HARDCORE,"I’m doing pretty well at not talking to my mom… it’s been two days, I think… HARDCORE."
Celtics lost to the Bulls now 20-19 on the season. Just take it one game at a time for number #oomf !!!,The Celtics lost to the Bulls and are now 20-19 for the season. Just take it one game at a time for number #oomf!
Chief Keef Is 17 Years Old. His Baby Mama Is In The 8th Grade. & He Is Currently In Juvi For Violating Probation. This Is Yalls Role Model?,"Chief Keef is 17 years old. His child's mother is in the 8th grade, and he is currently in juvenile detention for violating probation. This is your role model?"
Future is the new T-Pain. He sounds good doing the chorus but not so sure about the whole song.,"Future is like the new T-Pain. He sounds good singing the chorus, but I’m not so sure about him on the entire song."
I have so much to do today but my first priority this morning was to spend time with my lil mama.,"I have so much to do today, but my first priority this morning was to spend time with my little girl."
"""Lol just called my babe to tell him that ima go to the army, we're gonna get married and be together forever""","Lol, I just called my boyfriend to tell him that I’m going to join the army. We’re going to get married and be together forever."
"""Think ima go get my hair braided! I'm taking one weekend off, just me and him""","I think I’m going to get my hair braided! I’m taking one weekend off, just for me and him."
Something's are meant not to be said && I was about to say something but I'm not,"Some things are not meant to be said, and I was about to say something, but I’m not going to."
"""I know he see me tweeting this, and it's the truth. If it wasn't for him, I wouldn't love again""","I know he sees me tweeting this, and it’s the truth. If it weren’t for him, I wouldn’t love again."
My aunt is looney tho... ion know why she thinking I'm pregnant!  I gotta go,My aunt is crazy though... I don't know why she thinks I'm pregnant! I have to go.
"""Wish I was with my babe. But overall,  o enjoy my day with the co-workers""","I wish I were with my significant other, but overall, I enjoyed my day with my coworkers."
"""Me and your son has something special going on .. Don't try to fuck it up, or get fucked""","Your son and I have something special going on. Don’t try to ruin it, or there will be consequences."
