aae_text,sae_text,aae_context,aae_continuation,sae_context,sae_continuation
""": Except for track & school, I don't do shit with my life. Loser :P""",""": Other than track and school, I don't do anything with my life. Loser :P""",""" : Except for track &","school , I don ' t do shit with my life . Loser : P """,""" : Other than","track and school , I don ' t do anything with my life . Loser : P """
"""hell yeah just got that sane text lmao : Phone bill due in 3 days, DAMN!""","Absolutely, I just received that same text, haha. : The phone bill is due in 3 days, wow!",""" hell yeah just got that sane text lmao :","Phone bill due in 3 days , DAMN ! ""","Absolutely , I just received that same text , haha . : The phone bill is","due in 3 days , wow !"
whooping bitch?  I miss yall lol : People In My 6 Period Ugh <<<<<< Stfu Dumb Bitch!,"Who are you calling a bitch? I miss you all, lol. : The people in my sixth period class, ugh. <<<<<< Shut up, dumb bitch!",whooping bitch ? I miss yall lol : People In My 6,Period Ugh < < < < < < Stfu Dumb Bitch !,Who are you calling,"a bitch ? I miss you all , lol . : The people in my sixth period class , ugh . < < < < < < Shut up , dumb bitch !"
"""so icy hip hop,  Waka flock music . . I dont need no metaphor this is real music!""","So icy hip hop, Waka Flocka music... I don’t need any metaphors—this is real music!",""" so icy hip","hop , Waka flock music . . I dont need no metaphor this is real music ! ""","So icy hip hop , Waka Flocka music . . . I don ’ t",need any metaphors — this is real music !
""" U r an awesome man, thank u 4 being so great & taking care of me. U r truly gifted w/the blessings of God & I love u so much!""","You are an awesome man. Thank you for being so great and taking care of me. You are truly gifted with the blessings of God, and I love you so much!",""" U r an","awesome man , thank u 4 being so great & taking care of me . U r truly gifted w / the blessings of God & I love u so much ! """,You are an awesome man . Thank you for,"being so great and taking care of me . You are truly gifted with the blessings of God , and I love you so much !"
"""Call up 2 diz skool, I should have never took my ass 2 college fuck that shit""","Call up to this school, I should have never taken myself to college. Forget that.",""" Call up 2","diz skool , I should have never took my ass 2 college fuck that shit """,Call up to this,"school , I should have never taken myself to college . Forget that ."
Lol cos I ain't got No friends and everybody I need be next to me Lol.,Lol because I don't have any friends and everyone I need is right next to me. Lol.,Lol cos I ain ' t got,No friends and everybody I need be next to me Lol .,Lol because I don ',t have any friends and everyone I need is right next to me . Lol .
"""Headed to work sick not feeling good , tired & alot of things on my mind like ugh""","Heading to work while sick, not feeling well, tired, and with a lot on my mind—ugh.",""" Headed to work","sick not feeling good , tired & alot of things on my mind like ugh ""","Heading to work while sick , not feeling well , tired , and with a lot on",my mind — ugh .
"""Loved da tyme i spent wit my guy dat fool kno he kept me laughing i guess thtz,all tht matters""",Loved the time I spent with my friend; that fool knows he kept me laughing. I guess that's all that matters.,""" Loved da tyme i spent wit my guy dat fool kno he kept me","laughing i guess thtz , all tht matters """,Loved the time I spent with my friend ; that fool knows he kept me laughing,. I guess that ' s all that matters .
Should istay or should igo bt no matter how hard itry i cant walk away,"Should I stay or should I go, but no matter how hard I try, I can't walk away.",Should istay or should,igo bt no matter how hard itry i cant walk away,"Should I stay or should I go , but no matter how hard I try , I can '",t walk away .
See the moral of the story is everybody done had somebody that they ah run bck too,The moral of the story is that everyone has had someone they would run back to.,See the moral of the story is everybody done had somebody that,they ah run bck too,The moral of the story is that everyone has had someone,they would run back to .
Swear iCut Everybody Off But These Tha Type Of Games You Choose To Play  Bet That Up,"I swear I cut everybody off, but these are the kinds of games you choose to play. Bet that.",Swear iCut Everybody Off But,These Tha Type Of Games You Choose To Play Bet That Up,"I swear I cut everybody off , but these are the",kinds of games you choose to play . Bet that .
As Much As iWanted Him In Ha Life iJust Cant Keep Letting Him Run In &' Out Of Ha Life,"As much as I wanted him in her life, I just can't keep letting him come in and out of her life.",As Much As iWanted,Him In Ha Life iJust Cant Keep Letting Him Run In & ' Out Of Ha Life,As much as I wanted,"him in her life , I just can ' t keep letting him come in and out of her life ."
"""Lately I began to feel amazing about this new energy I feel , I'm never going back to my old self!""","Recently, I’ve started to feel amazing because of this new energy I have. I’m never going back to my old self!",""" Lately I began to feel amazing about this new energy I feel",", I ' m never going back to my old self ! ""","Recently , I ’ ve started",to feel amazing because of this new energy I have . I ’ m never going back to my old self !
man if one more of my tweets get send to draft imma be mad !!!,"Man, if one more of my tweets gets sent to drafts, I’m going to be mad!",man if one more of my tweets get send to draft imma,be mad ! ! !,"Man , if one more of my tweets gets sent to drafts , I ’ m going",to be mad !
Black Eyed Peas show NO MERCY when they do what they do...Thank God I work outside ALONE. LOL!,The Black Eyed Peas show no mercy when they perform... Thank God I work outside alone. LOL!,Black Eyed Peas show NO MERCY when they do what they do . . . Thank God I,work outside ALONE . LOL !,The Black Eyed Peas show no mercy when they perform . . . Thank God I,work outside alone . LOL !
For all of you that needed some WINTER WEATHER...ENJOY!  The rest of us will just ride it out. Yall SNOW people just SAT DOWN AND HUSH!!,For all of you who wanted some winter weather...enjoy! The rest of us will just get through it. You snow lovers just sit down and be quiet!,For all of you that needed some WINTER WEATHER . . . ENJOY ! The rest of us will just ride it out . Yall SNOW,people just SAT DOWN AND HUSH ! !,For all of you who wanted some winter weather . . . enjoy ! The rest of us will just get through it . You snow lovers just,sit down and be quiet !
My Pastor is off the Chain Today!! We are plunging in!! Preach !! I'M ALL IN!!,"My pastor is amazing today! We are diving in! Preach, ! I’m completely committed!",My Pastor is off the,Chain Today ! ! We are plunging in ! ! Preach ! ! I ' M ALL IN ! !,My pastor is amazing,"today ! We are diving in ! Preach , ! I ’ m completely committed !"
Spend less time focusing on what you did wrong and more time focusing on how to never let it happen again.,Spend less time focusing on what you did wrong and more time focusing on how to make sure it never happens again.,Spend less time focusing on what,you did wrong and more time focusing on how to never let it happen again .,Spend less time focusing on what you did wrong and more time focusing on how to make,sure it never happens again .
Dont worry....we all have our struggles.  So stop trying to put mine on Display before I kick your closet door open.,Don't worry... we all have our struggles. So stop trying to put mine on display before I open your closet door.,Dont worry . . . . we all have our struggles . So stop trying to put mine,on Display before I kick your closet door open .,Don ' t worry . . . we all have our struggles . So stop trying to put mine,on display before I open your closet door .
Love is truly blind....Sooner or later U figure that out. Ladies... Happiness might not have  six pack abs and Fellas..it might wear a wig.,"Love is truly blind... Sooner or later, you realize that. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig.",Love is truly blind . . . . Sooner or later U figure that out . Ladies . . . Happiness might not have,six pack abs and Fellas . . it might wear a wig .,"Love is truly blind . . . Sooner or later , you realize that . Ladies , happiness might not have","six - pack abs , and gentlemen , it might wear a wig ."
Obstacles bring you closer to God. Now....see why they're necessary?? JUST REMEMBER: Your Best Is Yet To Come.,Obstacles bring you closer to God. Now... do you see why they're necessary? JUST REMEMBER: Your best is yet to come.,Obstacles bring you closer to God . Now . . . . see why they ' re necessary ? ? JUST REMEMBER :,Your Best Is Yet To Come .,Obstacles bring you closer to God . Now . . . do you see why they ' re necessary ? JUST REMEMBER :,Your best is yet to come .
Funny Statistic....Twitter activity is down 40% on Legal Holidays when Gov offices are shut down..WOW! Says alot about what yall do all day!,Funny statistic... Twitter activity is down 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,Funny Statistic . . . . Twitter activity is down 40 % on Legal Holidays when Gov offices are shut down . . WOW ! Says alot about what yall,do all day !,Funny statistic . . . Twitter activity is down 40 % on legal holidays when government offices are closed . Wow ! That says a lot about what you all,do all day !
Today was a Great Day to be an American! And to be African-American just added more meaning to the occasions. #ProudBlackMan,Today was a great day to be an American! And being African American made the occasion even more meaningful. #ProudBlackMan,Today was a Great Day to,be an American ! And to be African - American just added more meaning to the occasions . # ProudBlackMan,Today was a great day to,be an American ! And being African American made the occasion even more meaningful . # ProudBlackMan
Anyone that left their animal outside tonight should be made to go out there with them. #CruelPeople,Anyone who left their animal outside tonight should have to go out there with them. #CruelPeople,Anyone that left their,animal outside tonight should be made to go out there with them . # CruelPeople,Anyone who left their,animal outside tonight should have to go out there with them . # CruelPeople
#ThirdShift....Bring it on! We ain't Scurd! Snow??? We laugh at Snow!! **in my quiet punk voice** {{Please Baby Jesus...Not Tonight}} LOL!!,"#ThirdShift... Bring it on! We aren't scared! Snow? We laugh at snow! **in my quiet, timid voice** {{Please, Baby Jesus... Not tonight}} LOL!",# ThirdShift . . . . Bring it on ! We ain ' t Scurd ! Snow ? ? ? We laugh at Snow ! ! * * in my quiet punk voice * * { { Please Baby Jesus . . . Not,Tonight } } LOL ! !,# ThirdShift . . .,"Bring it on ! We aren ' t scared ! Snow ? We laugh at snow ! * * in my quiet , timid voice * * { { Please , Baby Jesus . . . Not tonight } } LOL !"
#RealLife.....Somethings are learned and don't come with a scripture. ((That one is for the Saints)),#RealLife... Some things are learned and don’t come with a scripture. (That one is for the churchgoers.),# RealLife . . . . . Somethings,are learned and don ' t come with a scripture . ( ( That one is for the Saints ) ),# RealLife . . . Some things are,learned and don ’ t come with a scripture . ( That one is for the churchgoers . )
Im so faded my nigga im bout to disappear in this bitch.. Like poof! Der go my roof... Pow! Der go my hamma,"I'm so intoxicated, my friend, I'm about to disappear in this place... Like poof! There goes my roof... Pow! There goes my hammer.",Im so faded my nigga im bout to disappear in this bitch .,. Like poof ! Der go my roof . . . Pow ! Der go my hamma,"I ' m so intoxicated , my friend , I ' m about to disappear in this place .",. . Like poof ! There goes my roof . . . Pow ! There goes my hammer .
I got a headache rite... I drunk some frozen koolaid real fast rite... Got brainfreeze.... Headache gone.... Boom!,"I have a headache, right? I drank some frozen Kool-Aid really fast, right? Got brain freeze... The headache is gone... Boom!",I got a headache rite . . . I drunk some frozen koolaid real fast rite . . . Got brainfreeze . . . . Headache,gone . . . . Boom !,"I have a headache , right ? I drank some frozen Kool - Aid really fast , right ? Got brain freeze . . . The headache",is gone . . . Boom !
My whole life was a battle..... I made moves wit horses.. No saddle... Jus raddle,"My whole life was a battle... I made moves with horses—no saddle, just rattle.",My whole life was a battle . . . . . I made,moves wit horses . . No saddle . . . Jus raddle,My whole life was a battle . . . I made,"moves with horses — no saddle , just rattle ."
I strive for da gold...  And pic my own shit. Move bricks ill break and go pitch da whole load,I strive for the gold... And choose my own things. Move bricks I’ll break and then go sell the whole load.,I strive for da gold . . . And pic my own,shit . Move bricks ill break and go pitch da whole load,I strive for the gold . . . And choose my own things . Move bricks I ’ ll break and then go sell,the whole load .
Do I herr my g code..... .. Unless u not blessd to undastand ima man dat got stuck up in dis mess..,"Do I hear my code... Unless you’re not blessed to understand, I’m a man that got caught up in this mess.",Do I herr my g code . . . . . . . Unless u not blessd to undastand ima man,dat got stuck up in dis mess . .,"Do I hear my code . . . Unless you ’ re not blessed to understand , I ’ m a man",that got caught up in this mess .
I love yhu sorya & I want yhu to know yhu do got a friend& im here for yhu nmw on some friend type shit I dont wany to see nothing happend,"I love you, Sorya, and I want you to know you do have a friend, and I’m here for you no matter what, as a friend. I don’t want to see anything happen.",I love yhu sorya & I want yhu to know yhu do got a friend & im here for yhu nmw on some friend type shit I dont wany,to see nothing happend,"I love you , Sorya , and I want you to know you do have a friend , and I ’ m here for you no matter what , as a friend . I",don ’ t want to see anything happen .
"""   Was that suppose to be a joke, NOT FUNNY! Better luck next time :-)""",Was that supposed to be a joke? That was not funny! Better luck next time :-),""" Was that suppose to be a joke , NOT FUNNY ! Better luck next","time : - ) """,Was that supposed to be a joke ? That was not funny ! Better luck next,time : - )
Relationships r wut u make it so dont be such a bitch about thing and relationships will last longer.,"Relationships are what you make them, so don’t be so difficult about things and your relationships will last longer.",Relationships r wut u make it so dont be such a bitch about thing and relationships,will last longer .,"Relationships are what you make them , so don ’ t be so difficult about things and your relationships",will last longer .
next time I'm in JA I guess unless you're planning a trip to NYC in the near future?!,"The next time I’m in Jamaica, I suppose—unless you’re planning a trip to New York City in the near future?!",next time I ' m in,JA I guess unless you ' re planning a trip to NYC in the near future ? !,The next time I,"’ m in Jamaica , I suppose — unless you ’ re planning a trip to New York City in the near future ? !"
soon.! Mite hav that hook up for yo ass lol...bt yu jus make sure yu call me n we go talk about this .,"soon! I might have that hookup for you, lol... But you just make sure you call me and we’ll talk about this.",soon . ! Mite hav that hook up for yo ass lol . . . bt yu jus make sure yu call me n we go,talk about this .,"soon ! I might have that hookup for you , lol . . . But you just make sure you call me and we ’ ll",talk about this .
look around 2:13 a.m Myself jumped up and was like self!? Itold myself huh? Myself sed.bitch yu 4gt to call ai.! myself sed damn!,"I looked around at 2:13 a.m. and suddenly jumped up and said, ""Self!?"" I told myself, ""Huh?"" Then I said, ""Girl, you forgot to call Ai!"" And I said, ""Damn!""",look around 2 : 13 a . m,Myself jumped up and was like self ! ? Itold myself huh ? Myself sed . bitch yu 4gt to call ai . ! myself sed damn !,I looked around at 2,": 13 a . m . and suddenly jumped up and said , "" Self ! ? "" I told myself , "" Huh ? "" Then I said , "" Girl , you forgot to call Ai ! "" And I said , "" Damn ! """
I love yu lol i am after class..bt fina txt yu now cus I jus gt slick pissed.  .,"I love you lol. I am out of class, but I’m going to text you now because I just got really upset.",I love yu lol i am after class . . bt fina txt yu now cus I jus gt,slick pissed . .,"I love you lol . I am out of class , but I ’ m going to text you now because I just",got really upset .
right I need to cheer up because he's in a better place and people blaming honey cocaine,"You're right, I need to cheer up because he's in a better place and people are blaming Honey Cocaine.",right I need to cheer up because he ' s in a better,place and people blaming honey cocaine,"You ' re right , I need to cheer up because he ' s in a better",place and people are blaming Honey Cocaine .
ha ha ha pretty much that 97-2002 class was real smooth from every school,"Haha, pretty much, that 1997-2002 class was really smooth at every school.",ha ha ha pretty much that,97 - 2002 class was real smooth from every school,"Haha , pretty much , that",1997 - 2002 class was really smooth at every school .
after school traffic at washington went down also soon as it got hot in the school year nigga left tech early to get to washington,"After-school traffic at Washington decreased. Also, as soon as it got warm during the school year, people left Tech early to get to Washington.",after school traffic at,washington went down also soon as it got hot in the school year nigga left tech early to get to washington,After - school traffic at,"Washington decreased . Also , as soon as it got warm during the school year , people left Tech early to get to Washington ."
chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at me all the time lol lol,"Women would be too shy to talk to me after the basketball games, but they would find me on BlackPlanet and reach out to me all the time, haha.",chicks would be scared to holla after the basketball games but would find a niga on blackplanet and get at,me all the time lol lol,"Women would be too shy to talk to me after the basketball games , but they would find me on BlackPlanet and reach out to me all the","time , haha ."
is too funny this nigga changed his name to his bp name lol lol lol,"is so funny, he changed his name to his BlackPlanet name, lol lol lol.",is too funny this,nigga changed his name to his bp name lol lol lol,"is so funny , he changed his name to his BlackPlanet name",", lol lol lol ."
yall sure did and we had a couple also i wanna thank the locker room at jackie robinson for letting me get head and fingerin game,"You all definitely did, and we had a couple as well. I also want to thank the locker room at Jackie Robinson for letting me receive oral sex and for the fingering experience.",yall sure did and we had a couple also i wanna thank the locker room at jackie robinson for,letting me get head and fingerin game,"You all definitely did , and we had a couple as well . I also want to thank the locker room at Jackie Robinson for",letting me receive oral sex and for the fingering experience .
i thought yall school had a sex scandal from all those nuns being in the same place with no penis around,I thought your school had a sex scandal because all those nuns were in the same place with no men around.,i thought yall school had a,sex scandal from all those nuns being in the same place with no penis around,I thought your school had a,sex scandal because all those nuns were in the same place with no men around .
its gonna be alot of headlights on this cold am the big nipples are out,There are going to be a lot of headlights this cold morning—the big nipples are out.,its gonna be alot,of headlights on this cold am the big nipples are out,There are going to be a lot of,headlights this cold morning — the big nipples are out .
"""You don't mess with the Juice!n I gave you silk suits, blue diamonds and gucci handbags.n I gave you things you couldn't even pronounce!""","""You don't mess with the Juice! I gave you silk suits, blue diamonds, and Gucci handbags. I gave you things you couldn't even pronounce!""",""" You don ' t mess with the Juice ! n","I gave you silk suits , blue diamonds and gucci handbags . n I gave you things you couldn ' t even pronounce ! """,""" You don ' t mess with the Juice ! I gave you silk suits , blue diamonds , and Gucci handbags . I gave you things you couldn '","t even pronounce ! """
wheres is the jayer  at with her goofy ass i saw her begging for change in the middle of the grand ave mall the other day ha,Where is Jayer  with her silly self? I saw her begging for change in the middle of the Grand Avenue Mall the other day. Ha.,wheres is the jayer at,with her goofy ass i saw her begging for change in the middle of the grand ave mall the other day ha,Where is Jayer with her silly self ? I saw her begging for change in the middle of the Grand Avenue Mall the other,day . Ha .
Word of advice if its real cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu,"Here’s some advice: if it’s really cold, don’t let anyone use your jacket trying to be a gentleman—you’re going to catch the flu.",Word of advice if its real,cold dont let nobody use ya jacket trynna b a gentlemen you gon get the flu,Here ’ s some,"advice : if it ’ s really cold , don ’ t let anyone use your jacket trying to be a gentleman — you ’ re going to catch the flu ."
"""It's freezing cold in my house but my mom still expects me to get up and put all these clothes away , hmm idk about it""","It’s extremely cold in my house, but my mom still expects me to get up and put all these clothes away. Hmm, I’m not so sure about that.",""" It ' s freezing cold in my house but my mom still expects me to get up and put all these clothes away ,","hmm idk about it ""","It ’ s extremely cold in my house , but my mom still expects me to get up and put all these clothes away . Hmm",", I ’ m not so sure about that ."
only the last half hour.. Bout to watch the beginning. But this headache is stopping me.,Only the last half hour... I'm about to watch the beginning. But this headache is stopping me.,only the last half hour . . Bout to watch the beginning .,But this headache is stopping me .,Only the last half hour . . . I ' m about to watch the beginning .,But this headache is stopping me .
So she just outed him to his wife cause he didn't give her the job. Smh.,So she revealed his secret to his wife because he didn’t give her the job. Shaking my head.,So she just outed him to his wife cause he didn ' t give her,the job . Smh .,So she revealed his secret to his wife because he didn ’ t give her the job .,Shaking my head .
She ain't gonna see anything unless I @ her cause she is a lil on the nice side.,"She won’t see anything unless I mention her, because she is a little on the quiet side.",She ain ' t gonna see anything unless I @ her cause she is a lil on,the nice side .,"She won ’ t see anything unless I mention her , because she is a little on",the quiet side .
Reconnecting with someone you've know for years that you have seen for a really long time... Priceless!,Reconnecting with someone you've known for years that you haven't seen in a really long time... Priceless!,Reconnecting with someone you ' ve know for years that you,have seen for a really long time . . . Priceless !,Reconnecting with someone you ' ve known for years that you haven ' t,seen in a really long time . . . Priceless !
Damn. Checks bank account. I think I'll pay my bills and stay my ass in Philly instead.,Damn. Checks bank account. I think I'll pay my bills and just stay in Philadelphia instead.,Damn . Checks bank account . I think I ' ll pay my bills and stay my ass,in Philly instead .,Damn . Checks bank account . I think I ' ll pay my bills,and just stay in Philadelphia instead .
Exactly why I need a change... Not being able to do what you want when you want it sucks!,This is exactly why I need a change... Not being able to do what you want when you want to is terrible!,Exactly why I need a,change . . . Not being able to do what you want when you want it sucks !,This is exactly why I need,a change . . . Not being able to do what you want when you want to is terrible !
When people email you instead of texting or calling that means they shouldn't be talking to you in the first place.,"When people email you instead of texting or calling, it means they shouldn't be communicating with you in the first place.",When people email you instead of texting or calling that means they shouldn ' t be talking to you in,the first place .,"When people email you instead of texting or calling , it means they shouldn ' t be communicating with you in",the first place .
So at 2PM I was super tired. Now at almost 1AM my body is like naw it aint time to sleep yet. Wtf??,"So at 2PM I was very tired. Now, at almost 1AM, my body is like, ""No, it isn’t time to sleep yet."" What the heck?",So at 2PM I was super tired . Now at almost 1AM my body is like naw it aint time to sleep,yet . Wtf ? ?,"So at 2PM I was very tired . Now , at almost 1AM , my body is like , "" No , it isn ’ t time to sleep yet . """,What the heck ?
But then my alarm is gonna go off at 5:30 and I'm not gonna wanna get up,But then my alarm is going to go off at 5:30 and I’m not going to want to get up.,But then my alarm is gonna go off at 5 : 30 and I ' m not,gonna wanna get up,But then my alarm is going to go off at 5 : 30 and I ’ m not going,to want to get up .
I guess I need to lightly toast this bread so I can make a sandwich. Cause using the microwave proved to be a failure,"I suppose I need to lightly toast this bread so I can make a sandwich, because using the microwave turned out to be a failure.",I guess I need to lightly toast this bread so I can make a sandwich . Cause using the microwave,proved to be a failure,"I suppose I need to lightly toast this bread so I can make a sandwich , because using the microwave turned out",to be a failure .
I can see working with dude will guarantee me out of work late every time.,I can see that working with him will guarantee that I get out of work late every time.,I can see working with dude will guarantee,me out of work late every time .,I can see that working with him will guarantee that,I get out of work late every time .
Finding this new thing to be quite interesting. I should have some fun with this...,I find this new thing quite interesting. I think I’ll have some fun with it…,Finding this new thing to be quite interesting . I should have some fun with,this . . .,I find this new thing,quite interesting . I think I ’ ll have some fun with it …
Can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,Can ' t believe I came home at 4 and sat around in my jeans until just now . That ',s a first .,I can ' t believe I came home at 4 and sat around in my jeans until just now . That ',s a first .
gotta find out if the folks still going down or not. But I'm going back when the boy gets outta school.,I need to find out if everyone is still going or not. But I’m going back when my son gets out of school.,gotta find out if the folks still going down or not . But I ' m going back,when the boy gets outta school .,I need to find,out if everyone is still going or not . But I ’ m going back when my son gets out of school .
I can't treat but if you find a friend makes sure he has another.,"I can’t pay, but if you find a friend, make sure he has another one.",I can ' t treat but if you find a friend makes sure,he has another .,"I can ’ t pay , but if you","find a friend , make sure he has another one ."
I swear I'm gonna go to sleep and its gonna feel like I gotta get right back up.,I swear I'm going to go to sleep and it's going to feel like I have to get right back up.,I swear I ' m,gonna go to sleep and its gonna feel like I gotta get right back up .,I swear I ' m,going to go to sleep and it ' s going to feel like I have to get right back up .
As soon as I stop caring... Here you come.. Leave me in my friend zone! I'm cool there.,As soon as I stop caring... here you come. Leave me in my friend zone! I'm fine there.,As soon as I stop caring . . . Here you come . . Leave me in my friend zone ! I ',m cool there .,As soon as I,stop caring . . . here you come . Leave me in my friend zone ! I ' m fine there .
Last Tuesday I forgot my meds at home. This Tuesday will probably be no different.,"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.",Last Tuesday I forgot my meds at home . This Tuesday,will probably be no different .,"Last Tuesday , I forgot my medication at home . This Tuesday",will probably be no different .
"""If I ever say I think I'm from southwest please proceed to smack the sh*t outta me!""","""If I ever say that I think I'm from Southwest, please proceed to smack the shit out of me!""",""" If I ever say I think","I ' m from southwest please proceed to smack the sh * t outta me ! """,""" If I ever","say that I think I ' m from Southwest , please proceed to smack the shit out of me ! """
"""Somebody ask me where you from.. My first answer is Philly. They wanna know where in Philly and Imma tell em. But if I say I think.....""","Someone asks me where I’m from… My first answer is Philadelphia. They want to know where in Philadelphia, and I’ll tell them. But if I say I think…",""" Somebody ask me where you from . . My first answer is Philly . They wanna know where in Philly and Imma tell em . But if I say I","think . . . . . ""","Someone asks me where I ’ m from … My first answer is Philadelphia . They want to know where in Philadelphia , and I ’ ll tell them . But if",I say I think …
Hardest I've ever worked In one day in 4.5 years. I still don't like the job tho.,"This is the hardest I have worked in a single day in 4.5 years. I still do not like the job, though.",Hardest I ' ve ever worked In one day,in 4 . 5 years . I still don ' t like the job tho .,This is the hardest,"I have worked in a single day in 4 . 5 years . I still do not like the job , though ."
Females are the pettiest people.. I see why mfs don't like havin none or too many as friends..,Women are the pettiest people. I see why people don’t like having any or too many as friends.,Females are the pettiest people . . I see why mfs don ' t like havin none or too many,as friends . .,Women are the pettiest people . I see why people don ’ t like having,any or too many as friends .
She didn't leave you for making too many mistakes she left because you made the same mistakes too many times..,She didn’t leave you because you made too many mistakes; she left because you made the same mistakes too many times.,She didn ' t leave you for making too many mistakes she left because you made the same mistakes too,many times . .,She didn ’ t leave you because you made too many mistakes ; she left because you made the same mistakes,too many times .
Lol dumb ass  if I say half the girls I fucked or saw naked I fuck yo life up,"Lol, idiot. If I mentioned half the girls I’ve slept with or seen naked, I’d ruin your life.",Lol dumb ass if I say half the,girls I fucked or saw naked I fuck yo life up,"Lol , idiot . If I mentioned half","the girls I ’ ve slept with or seen naked , I ’ d ruin your life ."
I don't get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash,I don't understand girls—they try their hardest to get involved with a guy who might support them or look out for them just because he talks about money.,I don ' t,get girls they try there hardest to fuck with a nigga who might have there back or might look out for you cause he talk that cash,I don ' t,understand girls — they try their hardest to get involved with a guy who might support them or look out for them just because he talks about money .
Smh what are you gone dick suck let me guess whatever team that's winning Smh where are the true fans,"Shaking my head, what are you going to support—let me guess, whichever team is winning. Shaking my head, where are the true fans?",Smh what are you,gone dick suck let me guess whatever team that ' s winning Smh where are the true fans,"Shaking my head , what are","you going to support — let me guess , whichever team is winning . Shaking my head , where are the true fans ?"
I hate people that just swear they be mad all the time bitch smoke some weed and be happy,I dislike people who always claim they're angry. Just smoke some weed and be happy.,I hate people that just swear they,be mad all the time bitch smoke some weed and be happy,I dislike people who always claim they ' re angry .,Just smoke some weed and be happy .
Girls like girls boys like boys it don't matter to me just don't fake it you are who you are,"Girls like girls, boys like boys—it doesn't matter to me. Just don't pretend; you are who you are.",Girls like girls boys like boys it don ' t matter to,me just don ' t fake it you are who you are,"Girls like girls , boys like boys — it doesn ' t matter to",me . Just don ' t pretend ; you are who you are .
Damn that way I miss girl cuz I know she would drink with and blow that loud.,"Damn, that's why I miss her, because I know she would drink with me and smoke that loud.",Damn that way I miss,girl cuz I know she would drink with and blow that loud .,"Damn , that ' s why I miss","her , because I know she would drink with me and smoke that loud ."
