sae_text,aae_text
"Heading to work while sick, not feeling well, tired, and with a lot on my mind—ugh.","Headin’ to work while I’m sick, ain’t feelin’ good, tired, and got a lot on my mind—ugh."
Loved the time I spent with my friend; that fool knows he kept me laughing. I guess that's all that matters.,Loved kickin’ it wit my friend; that fool had me crackin’ up the whole time. Guess that’s all that matter.
"Should I stay or should I go, but no matter how hard I try, I can't walk away.","Should I stay or should I dip, but no matter how hard I try, I just can't walk away."
The moral of the story is that everyone has had someone they would run back to.,The moral of the story is everybody got somebody they’d run back to.
"I swear I cut everybody off, but these are the kinds of games you choose to play. Bet that.","I swear I done cut everybody off, but this the kinda games you wanna play. Bet that."
"As much as I wanted him in her life, I just can't keep letting him come in and out of her life.","Much as I wanted him in her life, I just can’t keep lettin’ him come in and out her life."
"Recently, I’ve started to feel amazing because of this new energy I have. I’m never going back to my old self!","Lately, I been feelin’ real good wit this new energy I got. I ain’t never goin’ back to my old self!"
"Man, if one more of my tweets gets sent to drafts, I’m going to be mad!","Man, if one more of my tweets get sent to drafts, I’ma be mad!"
The Black Eyed Peas show no mercy when they perform... Thank God I work outside alone. LOL!,The Black Eyed Peas don’t play when they perform... Thank God I be workin’ outside by myself. LOL!
For all of you who wanted some winter weather...enjoy! The rest of us will just get through it. You snow lovers just sit down and be quiet!,"For everybody who been wantin’ some winter weather… go ‘head and enjoy! The rest of us just gon’ get through it. All y’all snow lovers, just sit down and hush!"
"My pastor is amazing today! We are diving in! Preach, ! I’m completely committed!","My pastor on fire today! We goin’ in! Preach, ! I’m all in!"
Spend less time focusing on what you did wrong and more time focusing on how to make sure it never happens again.,"Stop worryin’ ‘bout what you messed up, and put that energy into makin’ sure it don’t happen no more."
Don't worry... we all have our struggles. So stop trying to put mine on display before I open your closet door.,Don’t worry… we all goin’ through somethin’. So quit tryna air out my business ‘fore I open up your closet.
"Love is truly blind... Sooner or later, you realize that. Ladies, happiness might not have six-pack abs, and gentlemen, it might wear a wig.","Love really be blind... Sooner or later, you gon’ see that. Ladies, happiness ain’t always got six-pack abs, and fellas, it might be rockin’ a wig."
Obstacles bring you closer to God. Now... do you see why they're necessary? JUST REMEMBER: Your best is yet to come.,"Obstacles gon’ bring you closer to God. Now… you see why they necessary, right? JUST REMEMBER: Yo’ best still on the way."
Funny statistic... Twitter activity is down 40% on legal holidays when government offices are closed. Wow! That says a lot about what you all do all day!,Funny stat... Twitter be down 40% on them holidays when the government closed. Damn! That really say a lot bout what y’all doin all day!
Today was a great day to be an American! And being African American made the occasion even more meaningful. #ProudBlackMan,Today was a good day to be American! Bein’ Black made it hit even different. #ProudBlackMan
Anyone who left their animal outside tonight should have to go out there with them. #CruelPeople,Anybody who left they animal outside tonight need to go out there wit’ em too. #CruelPeople
"#ThirdShift... Bring it on! We aren't scared! Snow? We laugh at snow! **in my quiet, timid voice** {{Please, Baby Jesus... Not tonight}} LOL!","#ThirdShift... Bring it on! We ain’t scared! Snow? Man, we laugh at snow! **in my quiet, timid voice** {{Lord, please... Not tonight}} LOL!"
#RealLife... Some things are learned and don’t come with a scripture. (That one is for the churchgoers.),"#RealLife... Some things you just gotta learn, ain’t no scripture for that. (That one for the church folks.)"
"I'm so intoxicated, my friend, I'm about to disappear in this place... Like poof! There goes my roof... Pow! There goes my hammer.","I’m so lit, fam, I’m ’bout to disappear up in here… Like poof! There go my roof… Pow! There go my hammer."
"I have a headache, right? I drank some frozen Kool-Aid really fast, right? Got brain freeze... The headache is gone... Boom!","I got a headache, right? Drank some frozen Kool-Aid real quick, right? Got brain freeze... Headache gone... Boom!"
"My whole life was a battle... I made moves with horses—no saddle, just rattle.","My whole life been a struggle... I made moves with them horses—no saddle, just that rattle."
I strive for the gold... And choose my own things. Move bricks I’ll break and then go sell the whole load.,"I’m always goin’ for the gold… And I pick my own moves. Move them bricks, I’ma break ’em down then go sell the whole load."
"Do I hear my code... Unless you’re not blessed to understand, I’m a man that got caught up in this mess.","Do I hear my code... Unless you ain’t blessed to understand, I’m a man who got caught up in this mess."
"I love you, Sorya, and I want you to know you do have a friend, and I’m here for you no matter what, as a friend. I don’t want to see anything happen.","Love you, Sorya, and I want you to know you got a friend—I'm here for you, no matter what, for real. I don’t wanna see nothin’ happen to you."
Was that supposed to be a joke? That was not funny! Better luck next time :-),That was s’posed to be a joke? That ain’t even funny! Try again next time :-)
"Relationships are what you make them, so don’t be so difficult about things and your relationships will last longer.","Relationships be what you make ’em, so don’t be actin’ all difficult and your relationships gon’ last longer."
"The next time I’m in Jamaica, I suppose—unless you’re planning a trip to New York City in the near future?!","Next time I’m in Jamaica, I guess—unless you plannin’ on comin’ to New York soon?!"
"soon! I might have that hookup for you, lol... But you just make sure you call me and we’ll talk about this.","real soon! I might got that hookup for you, lol... But just make sure you hit me up and we gon’ talk ‘bout it."
"I looked around at 2:13 a.m. and suddenly jumped up and said, ""Self!?"" I told myself, ""Huh?"" Then I said, ""Girl, you forgot to call Ai!"" And I said, ""Damn!""","I was lookin’ ‘round at 2:13 in the mornin’ and just jumped up like, “Self?!” I told myself, “Huh?” Then I was like, “Girl, you forgot to call Ai!” And I was like, “Damn!”"
"I love you lol. I am out of class, but I’m going to text you now because I just got really upset.","love you lol. I’m outta class, but I’ma text you now cuz I just got real mad."
"You're right, I need to cheer up because he's in a better place and people are blaming Honey Cocaine.","You right, I gotta cheer up cuz he in a better place and folks tryna blame Honey Cocaine."
"Haha, pretty much, that 1997-2002 class was really smooth at every school.","Lol, fr tho, that ’97-’02 class was real smooth everywhere."
"After-school traffic at Washington decreased. Also, as soon as it got warm during the school year, people left Tech early to get to Washington.","After-school traffic at Washington went down. Plus, soon as it got warm during the school year, folks dipped outta Tech early to get to Washington."
"Women would be too shy to talk to me after the basketball games, but they would find me on BlackPlanet and reach out to me all the time, haha.","Women be too shy to talk to me after the basketball games, but they always find me on BlackPlanet and hit me up all the time, lol."
"is so funny, he changed his name to his BlackPlanet name, lol lol lol.","be so funny, he done changed his name to his BlackPlanet name, lol lol lol."
"You all definitely did, and we had a couple as well. I also want to thank the locker room at Jackie Robinson for letting me receive oral sex and for the fingering experience.","Y’all definitely did, and we had a couple too. I also wanna thank the locker room at Jackie Robinson for lettin’ me get some head and for the fingerin’ experience."
I thought your school had a sex scandal because all those nuns were in the same place with no men around.,I thought yo school had a sex scandal cuz all them nuns was in the same spot wit no dudes around.
There are going to be a lot of headlights this cold morning—the big nipples are out.,It’s gon’ be a lotta headlights out here this cold mornin’—them big nipples showin’.
"""You don't mess with the Juice! I gave you silk suits, blue diamonds, and Gucci handbags. I gave you things you couldn't even pronounce!""","You don’t mess wit’ the Juice! I gave y’all silk suits, blue diamonds, an’ Gucci handbags. I gave you stuff you couldn’t even pronounce!"
Where is Jayer  with her silly self? I saw her begging for change in the middle of the Grand Avenue Mall the other day. Ha.,Where Jayer  at wit her silly self? I seen her out here beggin for change right in the middle of Grand Avenue Mall the other day. Ha.
"Here’s some advice: if it’s really cold, don’t let anyone use your jacket trying to be a gentleman—you’re going to catch the flu.","Here go some advice: if it’s real cold, don’t be lettin’ nobody use your jacket tryna be a gentleman—you gon’ mess around and catch the flu."
"It’s extremely cold in my house, but my mom still expects me to get up and put all these clothes away. Hmm, I’m not so sure about that.","It’s mad cold in my house, but my mama still want me to get up and put all these clothes away. Hmm, I’on know bout all that."
Only the last half hour... I'm about to watch the beginning. But this headache is stopping me.,Just caught the last half hour... ’Bout to watch it from the start. But this headache messin’ wit’ me.
So she revealed his secret to his wife because he didn’t give her the job. Shaking my head.,So she went an’ told his wife his secret just ’cause he ain’t give her the job. Smh.
"She won’t see anything unless I mention her, because she is a little on the quiet side.","She ain’t gon’ see nothin’ unless I tag her, ’cause she be real quiet."
Reconnecting with someone you've known for years that you haven't seen in a really long time... Priceless!,Linkin back up wit somebody you been knowin for years but ain’t seen in a minute... Priceless!
Damn. Checks bank account. I think I'll pay my bills and just stay in Philadelphia instead.,"Damn. Lemme check my bank account real quick. Yeah, I’ma just pay these bills and stay right here in Philly."
This is exactly why I need a change... Not being able to do what you want when you want to is terrible!,This exactly why I need a change... Not bein’ able to do what you wanna do when you wanna do it is terrible!
"When people email you instead of texting or calling, it means they shouldn't be communicating with you in the first place.","When folks email you instead of just texting or calling, that mean they ain't really got no business talkin' to you anyway."
"So at 2PM I was very tired. Now, at almost 1AM, my body is like, ""No, it isn’t time to sleep yet."" What the heck?","So at 2PM I was mad tired. Now, almost 1AM, my body talkin’ bout, ""Nah, it ain’t time to sleep yet."" Like, what’s really goin’ on?"
But then my alarm is going to go off at 5:30 and I’m not going to want to get up.,But then my alarm gon’ go off at 5:30 and I ain’t gon’ wanna get up.
"I suppose I need to lightly toast this bread so I can make a sandwich, because using the microwave turned out to be a failure.","Guess I gotta toast this bread a lil bit so I can make a sandwich, ’cause usin’ the microwave ain’t work out."
I can see that working with him will guarantee that I get out of work late every time.,"I already know if I work with him, I’ma be gettin’ off late every time."
I find this new thing quite interesting. I think I’ll have some fun with it…,I’m really feelin’ this new thing. Think I’ma have some fun wit it…
I can't believe I came home at 4 and sat around in my jeans until just now. That's a first.,I can't believe I came home at 4 and been sittin' 'round in my jeans till just now. That's a first.
I need to find out if everyone is still going or not. But I’m going back when my son gets out of school.,I gotta see if everybody still goin or not. But I’m goin back when my son get outta school.
"I can’t pay, but if you find a friend, make sure he has another one.","I ain’t got it, but if you find a dude, make sure he got a friend too."
I swear I'm going to go to sleep and it's going to feel like I have to get right back up.,I swear I’ma go to sleep and it’s gon’ feel like I gotta get right back up.
As soon as I stop caring... here you come. Leave me in my friend zone! I'm fine there.,Soon as I stop carin’... here you go. Leave me in my friend zone! I’m good right there.
"Last Tuesday, I forgot my medication at home. This Tuesday will probably be no different.","Last Tuesday, I left my meds at the house. This Tuesday prolly gon be the same."
"""If I ever say that I think I'm from Southwest, please proceed to smack the shit out of me!""","If I ever say I think I’m from Southwest, go ‘head and smack the shit outta me!"
"Someone asks me where I’m from… My first answer is Philadelphia. They want to know where in Philadelphia, and I’ll tell them. But if I say I think…","Somebody ask me where I’m from… First thing I say is Philly. They wanna know where in Philly, I’ma tell ’em. But if I say I think…"
"This is the hardest I have worked in a single day in 4.5 years. I still do not like the job, though.","This the hardest I done worked in one day in 4 and a half years. Still don’t like the job, though."
Women are the pettiest people. I see why people don’t like having any or too many as friends.,Women be the pettiest people. I see why folks don’t like havin’ any or too many as friends.
She didn’t leave you because you made too many mistakes; she left because you made the same mistakes too many times.,She ain’t leave you ‘cause you messed up too much; she left ‘cause you kept makin’ the same mistakes over and over.
"Lol, idiot. If I mentioned half the girls I’ve slept with or seen naked, I’d ruin your life.","Lol, fool. If I named half the girls I done been with or seen naked, yo life would be over."
I don't understand girls—they try their hardest to get involved with a guy who might support them or look out for them just because he talks about money.,"I don’t get girls—they be doin’ the most to mess with a dude just ’cause he talkin’ bout money, like he gon’ look out for them or something."
"Shaking my head, what are you going to support—let me guess, whichever team is winning. Shaking my head, where are the true fans?","Shakin my head, what you gon support—lemme guess, whichever team winnin. Smh, where the real fans at?"
I dislike people who always claim they're angry. Just smoke some weed and be happy.,I can't stand folks always talkin' 'bout they mad. Just roll up and be happy.
"Girls like girls, boys like boys—it doesn't matter to me. Just don't pretend; you are who you are.","Girls like girls, boys like boys—it don’t matter to me. Just don’t be fake; you is who you is."
"Damn, that's why I miss her, because I know she would drink with me and smoke that loud.","Damn, that’s why I miss her, ’cause I know she’d drink wit’ me and smoke that loud."
I'm so used to the past that I don't know if I can handle what's happening now.,"I’m so used to the past, I don’t even know if I can deal with what’s goin’ on now."
"I try to be with one girl, but she keeps insisting that I’m involved with other girls.","I be tryna be with one girl, but she steady actin’ like I’m messin’ with other girls."
"Sometimes I feel like I talk the most trash, but then I’m like, who the hell is going to check me?","Sometimes I feel like I be talkin’ the most mess, but then I’m like, who gon’ check me?"
"Women give themselves a reason to hate me... Hell, why not just make it two!","Women always find a reason to hate on me... Shoot, might as well make it two!"
"Everyone is walking around wanting to be tough... But when it all comes down to it, these people aren't really tough after all.","Everybody out here actin’ like they tough… But when it really come down to it, they ain’t even tough for real."
You can't be happy having so much hatred in your life. Some things just aren't going to turn out right.,You ain’t gon’ be happy holdin’ all that hate in your life. Some things just ain’t gon’ work out right.
"My nose is making me really mad, I swear. It's all stuffed up and bothering me. I can't even breathe for real.","Man, my nose got me real mad, I swear. It all stuffed up and messin’ with me. I can’t even breathe fr."
"I can't wait for Duflocka Rant 2; it's going to be extremely hard, just like that Metal Jacket 2.","I can't wait for Duflocka Rant 2; it's finna go crazy, just like that Metal Jacket 2."
": Inside my mind, I couldn't find a place to rest until I got ""Thug Life"" tattooed on my chest. —Tupac",": In my head, I couldn't find no place to rest 'til I got ""Thug Life"" tatted on my chest. —Tupac"
About to watch this movie and wait for my boyfriend to finish getting his hair done.,Boutta watch this movie and wait for my man to finish gettin his hair done.
"""Cheating is a choice, not a mistake. If you had time to cheat, you had time to think about it.""","Cheatin’ a choice, not no mistake. If you had time to cheat, you had time to think ‘bout it."
My boyfriend is going to tell me not to wear my favorite color—what kind of drugs is he on?,My man really gon’ tell me not to wear my favorite color—what kinda stuff he on?
"You're welcome, love. I've seen your videos too. You and  make a great team. Just saying.","You welcome, love. I seen yo videos too. You and  make a real good team. Just sayin."
I hope my mom is going to take me to get a tattoo soon like she said.,I hope my mama gon’ take me to get a tattoo soon like she said.
How are you going to tell me to DM you but then not DM me back? -_-,How you gon’ tell me to DM you but then not hit me back? -_-
you and  should be asleep; you both have class tomorrow and it's almost 2:00! Shame on you all.,you and  needa be sleep; y’all got class tomorrow and it’s damn near 2:00! Shame on y’all.
"Sorry, it won't happen again, babe. Love you. You are my world. I don't want to lose you.","My bad, it ain’t gon’ happen no more, bae. Love you. You my world fr. Ion wanna lose you."
"Boy, my girlfriend and I broke up, shaking my head. Now I need a friend to talk to.","Boy, me and my girl broke up, smh. Now I need somebody to talk to."
One thing about me is I'll never tell anyone anything is wrong because I’ve already been through it and learned from it!,One thing bout me is I ain’t never gon’ tell nobody nothin’ wrong ’cause I done already been through it and learned from it!
""": Wherever you go, no matter what the weather is like, always bring your own sunshine. - Anthony J. D'Angelo""",": Wherever you go, no matter how the weather look, always bring yo’ own sunshine. - Anthony J. D’Angelo"
That stuff is going to put me right back to sleep and that's wasting it... never mind.,"That stuff gon’ have me knocked right back out, wastin’ it… never mind."
"Now that I have left school, my attitude is better now and thank God.","Now that I done left school, my attitude way better now, thank God."
"...... Because my mom didn’t pay the bill and I had money for it, but this person went and spent it, so I bought other stuff with it -_-","...... Cuz my mama ain’t pay the bill and I had the money for it, but this person went and spent it, so I went and bought some other stuff wit it -_-"
""" Lol, you could have just ignored it and acted like you didn’t see it. And Terry wants your number.""",""" Lol, you coulda just ignored it and acted like you ain’t even see it. And Terry want yo’ number."""
"Be quiet. You know I mess with you 103 percent, for real. You're my close friend.","Hush. You know I fucks with you 103 percent, fr. You my real one."
I love my team. We’re all about making money. Forget that drama.,I love my squad. We all ’bout gettin’ this money. Forget that drama.
"Lol, Lelani is NOT going to ruin my good mood! With her foolish self .","Lol, Lelani is NOT finna mess up my good mood! With her silly self ."
""" Lol, I'm high, I thought I asked. Damn, sorry, excuse the weed.""","lol, I’m high, thought I done asked. Damn, my bad, blame the weed."
"In Memphis, there are a lot of promiscuous women, broke men, and nonsense. That’s why I have to get away from here.","In Memphis, it’s a lotta fast women, broke dudes, and mess goin’ on. That’s why I gotta get up outta here."
I need to learn how to control my temper. I’m really a hothead.,I gotta learn how to control my temper. I really be a hothead.
"I don’t care who you are, young or old, I’m going to say whatever I have to say!","I don’t care who you is, young or old, I’ma say what I gotta say!"
"I want to scream and shout and let it all out, and scream and shout and let it out. We're saying, ""Oh, we, oh we, oh we, oh!""","I wanna scream and shout and let it all out, just scream and shout and let it out. We sayin’, ""Oh, we, oh we, oh we, oh!"""
"I'm not sure if your pride is just too strong or if this is truly who you are, but wow.","I’on even know if yo pride just too strong or if this really who you is, but damn."
"I know you are not arguing on this social network, which is exactly what these people want to see.","I know you ain’t out here arguing on this app, that’s exactly what they wanna see."
"I'm relaxing until later, because my bed and I are taking care of some unfinished business!","I’m chillin’ for now, ’cause me and my bed got some unfinished business to handle!"
"I’m not going to sleep until she wakes up and calls me, so until then… #teamupalldamnnight!!!","I ain’t goin’ to sleep ‘til she wake up and hit me up, so ‘til then… #teamupalldamnnight!!!"
"If I don’t give one of my followers that money to hold, I’ll be completely out of luck and very broke!","If I don’t let one of my followers hold that money for me, I’ma be all outta luck and real broke!"
"I'm not feeling well, and Tyiah just really annoyed me for the day!","I ain't feelin' good, and Tyiah just got on my nerves today!"
I came just to get my hair done ... but her friend made it her business to be there. Shaking my head....,I just came to get my hair done... but her friend had to be all up in it. Smh...
"Hey, tell your girl she’s going to have to step her game up. :) … and yes, this one is for you too!","Aye, tell ya girl she gon’ have to step her game up. :) … and yeah, this one for you too!"
The fact that she hasn't even tried to call or text me since I hung up... cool!,The fact she ain’t even tried to call or text me since I hung up... aight!
"LOL, man, you really need to grammar check your tweets—you sound dumb as fuck!","lmao, bruh, you really needa check yo grammar on these tweets—you sound dumb as hell!"
Who do you think you are? This woman just walked upstairs. Where does that even happen?,Who you think you is? This woman just walked up them stairs. Where they do that at?
""" I know, that’s why I said it. Lol. But one day I’m going to get you high! #BelieveThat""","I’on told you, that’s why I said it. Lol. But one day I’ma get you high! #BelieveThat"
: God wouldn't put you through anything you can't handle. What doesn't kill you makes you stronger!,: God ain’t gon’ put you through nothin’ you can’t handle. What don’t kill you make you stronger!
You already know I’m going to be extremely excited when I go in there.,You already know I’ma be mad excited when I go up in there.
I’ve just been relaxing. I can’t wait until spring break or summer so I can see all of you.,I just been chillin. Can’t wait til spring break or summer so I can see all y’all.
You think I don’t duck below those windows? I value my life!,You think I don’t be duckin’ under them windows? I value my life!
"If anyone has a problem with Steffanie, be honest and make it known!","If anybody got a problem with Steffanie, be real and say it!"
"No, I wanted to, but there were too many people around so I had to tough it out.","Nah, I wanted to, but it was too many folks around so I just had to thug it out."
Anyone who knows me should know that I am one of the nicest people you will ever meet... unless I do not like you.,Anybody who know me know I’m one of the nicest people you gon’ ever meet… unless I don’t like you.
"I want to let you know how I really feel, but my pride won't let me.","I wanna let you know how I really feel, but my pride won’t let me."
""": There’s a price on your head; I’ll leave you lying where you stand!""",""": They got a price on yo head; I’ll leave you layin’ right where you stand!"""
": When I tell you I love you, I truly mean it!",": When I say I love you, I really mean that!"
"Beef is when you make mistakes—fewer burgers with your friends, more steak with snakes.","Beef is when you mess up—ain’t no more burgers wit’ your folks, just steak wit’ them snakes."
I think we can all agree that the real winner in this Te'o fiasco is Catfish.,I think we can all agree the real winner in this Te'o mess is Catfish.
I probably didn’t put much of Mrs. Myra’s BBQ sauce on my chicken tonight.,I prolly ain’t put much of Mrs. Myra’s BBQ sauce on my chicken tonight.
Don’t feel bad about this loss. This is what State is supposed to do. I’m glad to see some fight in the Heels at the end.,Don’t trip over this loss. This what State s’posed to do. I’m glad to see the Heels put up a fight at the end.
"Aww, that's true. I’m going to be there all week next week! Even though their silly selves suspended me, lol, I’m going to behave next week.","Aww, that’s facts. I’ma be up there all week next week! Even though they lil silly selves done suspended me, lol, I’ma chill next week."
I'm going somewhere at 12. I'll have Chyna come get you when I'm done.,I’m goin’ somewhere at 12. I’ma have Chyna come get you when I’m done.
"I don’t have a message unless you’re talking about on MeetMe, but I don’t care, fuck you, go back to that bitch, bye.","I ain’t got no message unless you talkin’ bout on MeetMe, but I don’t care, fuck you, go back to that bitch, bye."
"The world is yours, young man. What are you going to do with it? Watch it, make it work.","The world yours, young man. Whatchu gon do wit it? Betta watch it, make it work."
"I mess with Alley Lano, man. East Baltimore, Latrobe. But that's not all of our projects though.","I fucks wit Alley Lano, fr. East Baltimore, Latrobe. But that ain’t all our projects tho."
"Rappers talk about trapping but have never seen a hundred million. If your Audemars isn’t a hundred (thousand), then your stuff isn’t real. Be gone, bitch. (In Meek Mill’s voice.) Baltimore City.","Rappers be talkin’ bout trappin but ain’t never seen a hunnid million. If yo Audemars ain’t a hunnid (thousand), then yo shit ain’t real. Gone somewhere, bitch. (In Meek Mill voice.) Baltimore City."
"I love Chicago. You all need to calm down with the violence and try to make things work—in Yo Gotti’s voice. That’s why I’m alone in Baltimore. Much love to everyone in Chicago, though.","I love Chicago. Y’all needa chill wit all that violence an’ try ta make things work—in Yo Gotti voice. That’s why I’m out here solo in Baltimore. Much love to everybody in Chicago, tho."
"Hating isn’t going to get you anywhere, but in a box. Stay low and quiet—mob secrets.",Hatin’ ain’t gon’ get you nowhere but in a box. Stay low an’ quiet—mob secrets.
"You aren’t lying, Ghost. This is amazing. Lion pride. I’m going to be listening to this for the rest of my life.","You ain’t lyin’, Ghost. This go hard. Lion pride. I’ma be bumpin’ this for the rest of my life."
"If you’re my friend, you’re my friend then! I definitely don’t need any new friends—where have you been?","If you my friend, you my friend, period! I for sure don’t need no new friends—where you been at?"
"I heard he had sex with her. Oh well, I don't care. She's not my girlfriend. I can't stand her.","I heard he smashed her. Oh well, I don't care. She ain't my girl. I can't stand her."
"I want to cuddle with a girl, but she’s at her grandma’s house, so I’m just going to go back to sleep.","I wanna cuddle wit a girl, but she at her grandma house, so I’ma just go back to sleep."
"I go hard for my squad. Squad! Alright! 039 stuff. Forget the opposition, forget Lawless and them, forget those guys. Take losses. Forget Cess.","I go hard for my squad. Squad! Aight! 039 shit. Forget the opps, forget Lawless and nem, forget them dudes. Take losses. Forget Cess."
"because I know I’m going to be up all night, but in the morning I’m going to be really sleepy.","cuz I already know I’ma be up all night, but in the mornin’ I’ma be real sleepy."
"Ragene, stop tweeting at me. You're just upset because I don't want you. I've moved on. Goodbye. Stop talking to me—we have nothing else to discuss.","Ragene, stop blowin’ up my mentions. You just mad ‘cause I don’t want you no more. I done moved on. Bye. Stop hittin’ me up—we ain’t got nothin’ else to talk about."
"LOL, I don't want her to wear any panties tomorrow when she comes over, for real.","LOL, I don't want her wearin' no panties tomorrow when she come through, fr."
""": I don't trust people. I think anybody could set me up! True stuff. #TRUSTNONE""",""": Ion trust nobody. Anybody could set me up, fr! Real talk. #TRUSTNONE"""
People don’t know what it means to keep their word anymore. That’s why my trust is messed up! But I would die to keep my word.,Folks don’t even know what it mean to keep they word no more. That’s why my trust all messed up! But I’d die just to keep mine.
"Some people expect women to perform oral sex or do even more, I suppose. In that case, I guess I'll never go on a date. LMAO","Some folks be expectin’ women to give head or do even more, I guess. If that’s the case, I ain’t never goin’ on a date. LMAO"
Ask me to come see you at a game and then you don’t even talk to me. #wtf,Ask me to pull up to your game and then you don’t even say nothin’ to me. #wtf
"I love attractive women, that’s my problem, and yes, I like to have sex—I have a serious problem.","I love fine women, that’s my problem, and yeah, I like to get it in—I really got a problem fr."
"Aww, the head manager of West Orange Burger King called me and thanked me for working there, and said he wants me to work there in the summer.","Aww, the head manager at West Orange Burger King hit me up and thanked me for workin’ there, said he want me to come back and work this summer."
"Mmm hmm, that's what it sounds like to me. My baby's godmother can't be into that, lol.","Mmm hmm, that’s what it sound like to me. My baby godmama can’t be into that, lol."
I was thinking about going to the mall on Monday since I have the day off... I’m not sure though.,I was thinkin’ bout goin’ to the mall on Monday since I got the day off... Ion know though.
"I know it does. I remember the last time I went—I kept falling down. I thought I was going to break my ankle in the process, lol.","I know it do. I remember last time I went—I kept fallin’ down. Thought I was gon’ break my ankle messin’ around, lol."
Did you see they put him in the conference championship game and he made two big catches?,You seen they put him in the conference championship game and he came through with two big catches?
"Thank you, Lord, for waking me up this morning. Please give me the strength because these people are getting on my nerves.","Thank you, Lord, for wakin’ me up this mornin’. Lord, give me strength, ’cause these folks gettin’ on my nerves."
I wonder how many men can lie next to a woman all night and not have sex with her.,I wonder how many dudes can lay up next to a woman all night and not try to smash.
You know the sex is good when it always feels like the first time again.,You know the sex good when it always feel like the first time all over again.
"I’m doing pretty well at not talking to my mom… it’s been two days, I think… HARDCORE.","I’m doin real good not talkin to my mama… it’s been like two days, I think… HARDCORE."
The Celtics lost to the Bulls and are now 20-19 for the season. Just take it one game at a time for number #oomf!,The Celtics lost to the Bulls and now they 20-19 for the season. Just gotta take it one game at a time for #oomf!
"Chief Keef is 17 years old. His child's mother is in the 8th grade, and he is currently in juvenile detention for violating probation. This is your role model?","Chief Keef just 17. His baby mama still in 8th grade, and he locked up in juvie for violatin’ probation. This who y’all lookin’ up to?"
"Future is like the new T-Pain. He sounds good singing the chorus, but I’m not so sure about him on the entire song.","Future kinda like the new T-Pain. He sound good singin’ the hook, but I’on know ’bout him on the whole song."
"I have so much to do today, but my first priority this morning was to spend time with my little girl.","I got so much to do today, but first thing this mornin’ was spendin’ time wit’ my lil’ girl."
"Lol, I just called my boyfriend to tell him that I’m going to join the army. We’re going to get married and be together forever.","Lol, I just hit up my man to tell him I’m boutta join the army. We gon get married and be together forever."
"I think I’m going to get my hair braided! I’m taking one weekend off, just for me and him.","I think I’ma get my hair braided! I’m takin’ one weekend off, just for me and him."
"Some things are not meant to be said, and I was about to say something, but I’m not going to.","Some things just ain’t meant to be said, and I was bout to say somethin’, but I ain’t gon’ do it."
